"11-13-2012 / Perth, Australia / Belvoir Amphitheatre",AUD,,,FLAC,
"11-15-2012 / Adelaide, Australia / Thebarton Theatre",AUD,,,FLAC,
,,,,,
[2013],,,,,
"2-21-2013 / Amsterdam, The Netherlands / Heineken Music Hall",AUD,2 sources,,FLAC,
"2-22-2013 / Berlin, Germany / Tempodrom",AUD,,,FLAC,
"2-23-2013 / Munich, Germany / Zenith",AUD,,,FLAC,
"2-24-2013 / Basel, Switzerland / St. Jakobshalle",AUD,,,FLAC,
"2-26-2013 / Brussels, Belgium / Vorst National",AUD,2 sources,,FLAC,
"2-28-2013 / Lille, France / Zenith Arena",AUD,2 sources,,FLAC,
"3-3-2013 / Manchester, England / O2 Apollo Manchester",AUD,,,FLAC,
"3-7-2013 / Brixton, London / 02 Academy",AUD,,,FLAC,
"3-8-2013 / London, UK / Brixton Academy",AUD,,,FLAC 24,
"3-9-2013 / London, UK / Brixton Academy",AUD,,,FLAC 24,
"3-24-2013 / Fairfax, VA / George Mason University - Patriot Center",AUD,2 sources,,FLAC,
"3-25-2013 / New York, NY / Madison Square Garden",AUD,,,FLAC,
"3-26-2013 / Boston, MA / Agganis Arena",AUD,,,FLAC,
"3-27-2013 / Montreal, Quebec / Centre Bell",AUD,,,FLAC,
"4-1-2013 / Detroit, MI / Fox Theatre",AUD,,,FLAC,
"4-2-2013 / Chicago, IL / UIC Pavilion",AUD,,,FLAC,
"4-3-2013 / St. Paul, MN / Roy Wilkins Auditorium",AUD,,,FLAC,
"4-10-2013 / Cedar Park, TX / Cedar Park Center",AUD,,,FLAC 24,
"4-12-2013 / Phoenix, AZ / Comerica Theatre",AUD,,,FLAC,
"4-17-2013 / San Francisco, CA / Bill Graham Civic Auditorium",AUD,,,FLAC,
"4-19-2013 / Santa Barbara, CA / Santa Barbara Bowl",AUD,,,FLAC,
"6-16-2013 / Dresden, Germany / Junge Garde",Webcast,,,FLAC,
"6-19-2013 / Dresden, Germany / Freilichtbühne Großer Garten - Junge Garde",WEB,,,FLAC,
"6-21-2013 / Scheebel, Germany / Hurricane Festival",Webcast,,,MKV,
"6-23-2013 / Hilvarenbeek, The Netherlands / Best Kept Secret Festival",AUD,,,FLAC,
"7-6-2013 / Roskilde, Denmark / Festivalpladsen",FM,2 sources,,FLAC,
"7-25-2013 / Nyon, France / Paleo Festival",SBD,,,FLAC,
"7-27-2013 / Tuscany, Italy / Lucca - Summer Festival",Matrix,FM,AUD,FLAC,
"7-30-2013 / Lyon, France / Les Nuits de Fourviere",AUD,,,FLAC,
"8-30-2013 / Macclesfield, England / Jodrell Bank",AUD,,,FLAC,
"9-2-2013 / London, England / Roundhouse",WEB,,,FLAC,
"9-20-2013 / Philadelphia, PA / Mann Center - Main Stage",MTX,,,FLAC,
"9-21-2013 / Raleigh, NC / Red Hat Amphitheater (H1N) (will butler)",AUD,,,FLAC,
"9-23-2013 / Charlottesville, VA / John Paul Jones Arena",AUD,,,FLAC,
"9-30-2013 / Chicago, IL / Auditorium Theatre",AUD,2 sources,,FLAC 24,
"10-18-2013 / London, UK / BBC Maida Vale Studios",WEB,,,MKV,
"11-16-2013 / Dublin, Ireland / 02 Arena (The Point)",AUD,,,FLAC,
"11-25-2013 / Dusseldorf, Germany / Mitsubishi Electric Hall",AUD,2 sources,,FLAC,
"11-27-2013 / Malmo, Sweden / Baltiska Hallen",AUD,,,FLAC,
,,,,,
[2016],,,,,
"6-18-2016 / Aarhus, Denmark / Adelen - Northside Festival ",AUD,,,FLAC,
"7-16-2016 / London, UK / Citadel Festival",AUD,,,FLAC,
"7-17-2016 / London, UK / Citadel Festival",AUD,2 sources,,FLAC,*Date may say 7-16-2016 (it's 7/17)
"7-30-2016 / Stockholm, Sweden / Skeppsholmen",AUD,,,FLAC,
"9-30-2016 / Chicago, IL / Chicago Theatre",AUD,,,FLAC,
"10-5-2016 / New York, NY / Radio City Music Hall",AUD,,,FLAC 24,
"10-6-2016 / Brooklyn, NY / Kings Theatre",AUD,,,FLAC,
,,,,,
[2017],,,,,
"4-8-2017 / Berkeley, CA / Greek Theatre",AUD,,,FLAC,
"4-9-2017 / Oakland, CA / Fox Theatre",AUD,,,FLAC,
"4-14-2017 / Los Angeles, CA / Walt Disney Concert Hall",Webcast,,,TS,Video
"6-3-2017 / Chicago, IL / Auditorium Theatre",AUD,,,FLAC 24,
"6-13-2017 / Louisville, KY / The Palace",AUD,,,FLAC,
"7-27-2017 / Melbourne, Australia / Margaret Court Arena",AUD,,,FLAC,
"10-1-2017 / Brussels, Belgium / Forest National",AUD,,,FLAC,
"10-2-2017 / Amsterdam, Holland / Afas Live Hall",AUD,2 sources,,FLAC,
"10-3-2017 / Groningen, The Netherlands / De Oosterpoort",AUD,,,FLAC,
"10-7-2017 / Copenhagen, Denmark / Forum",AUD,,,FLAC,
"10-9-2017 / Berlin, Germany / Tempodrom",AUD,2 sources,,FLAC,
"10-13-2017 / Koln, Germany / Palladium",AUD,,,FLAC,
"10-14-2017 / Frankfurt, Germany / Jahrhunderthalle",AUD,2 sources,,FLAC,
"10-16-2017 / Vienna, Austria / Gasometer",AUD,,,FLAC,
"11-24-2017 / Santiago, Chile / Movistar Arena",AUD,,,FLAC,
"11-26-2017 / Buenos Aires, Argentina / Argentina Sonar Aires Festival",AUD,,,FLAC,
"12-29-2017 / Reykjavik, Iceland / Harpa-Eldborg - Norour og Niour Festival",AUD,,,FLAC 24,
"12-30-2017 / Reykjavik, Iceland / Harpa-Eldborg - Norour og Niour Festival",AUD,,,FLAC 24,
,,,,,
[2019],,,,,
"9-24-2019 / Hollywood, CA / Hollywood Bowl",FM,,,FLAC,
,,,,,
[2022],,,,,
"5-3-2022 / Monterrey, Mexico / Auditorio CitiBanamex (Zoom H1) (christobal de l.)",AUD,,,FLAC,
"5-17-2022 / Stanford, CA / Frost Amphitheater (CA-11) (opsopcopolis) ",AUD,,,FLAC 24,
"5-17-2022 / Palo Alto, CA / Frost Amphitheatre (Schoeps MK4s) (ted mattes)",AUD (48k),,,FLAC,
"6-3-2022 / Detroit, MI / Masonic Temple Theatre (inc) (iPhone XS Plus) (nick fleece)",AUD,,,FLAC,
"6-6-2022 / Washington, DC / The Anthem (Zoom H1N) (echtoplasm)",AUD,,,FLAC,
"6-17-2022 / New York, NY / The Beacon Theatre  (AT831) (inez)",AUD,,,FLAC 24,
"10-24-2022 / Warszawa, Poland / Centrum Expo XXI (Tascam DR-05X) (pf_jack)",AUD,,,FLAC,
"11-1-2022 / Amsterdam, The Netherlands / AFAS Live (Zoom H1) (pieter) ",AUD,,,FLAC 24,
"11-13-2024 / Nottingham, UK / Royal Concert Hall (DPA 4060s) (unk) ",AUD,,,FLAC,
,,,,,
[2023],,,,,
"6-16-2023 / London, UK / Royal Festival Hall (DPA 4060s) (emmanuel)",AUD,,,FLAC,
"6-17-2023 / Amsterdam, The Netherlands / The Concertgebouw (Zoom H1) (pieter)",AUD,,,FLAC 24,
"6-18-2023 / Hamburg, Germany / Elbphilharmonie (DPA 4018) (chrysler)",AUD,,,FLAC,
"8-16-2023 / New York, NY / The Beacon Theatre (with Wordless Music Orchestra (AT831) (inez)",AUD,,,FLAC 24,
"8-18-2023 / Brooklyn, NY / Kings Theatre (with Wordless Music Orchestra (AT831) (inez) ",AUD,,,FLAC 24,
"8-19-2023 / Boston, MA / Wang Theatre (Sennheiser AMBEO) (km)",AUD,,,FLAC,
"8-26-2023 / Berkeley, CA / UC Berkeley (MK4) (dmonkey) ",AUD,,,FLAC 24,
"8-28-2023 / Los Angeles, CA / The Greek Theatre (SP-CMC-8) (unk)",AUD,,,FLAC 24,
,AUD,,,FLAC 24,
[2024],,,,,
"9-21-2024 / Chicago, IL / Auditorium Theatre (AT943) (englishskylarking) ",AUD,,,FLAC,
"9-21-2024 / Chicago, IL / Auditorium Theatre (CA-14) (iku)",AUD,,,FLAC,
"9-25-2024 / Washington, DC / The Anthem (CA-14) (unk)",AUD,,,FLAC 24,
"11-30-2024 / Stockholm, SWE / Waterfront (Instamic Pro Plus) (qew) ",AUD,,,FLAC 24,
,,,,,
[2025],,,,,
2-25-2025 / Singapore / Esplanade Theatre (SP-CMC-4U) (pyometronguts) ,AUD,,,FLAC 24,
"5-19-2025 / Melbourne, Australia / Hamer Hall (Zoom H1n) (claire laura fredriksson) ",AUD,,,FLAC 24,
"5-19-2025 / Melbourne, AUS / Hamer Theatre (SP-CMC-4U) (pyometronguts)",AUD,,,FLAC 24,
"9-7-2025 / Vienna, Austria / Konzerthaus (Zoom H2n) (unk)",AUD,,,FLAC,
"9-24-2025 / Brussels, Belgium / Centre for Fine Arts (DPA 4061) (bart)",AUD,,,FLAC,
"10-2-2025 / London, UK / Royal Albert Hall (CA-11) (rairun)",AUD,,,FLAC,
"10-5-2025 / Amsterdam, NL / Royal Theatre Carré (Line Audio CM4) (pieteker) ",AUD,,,FLAC,
"11-17-2025 / San Francisco, CA / The Orpheum Theatre (Schoeps MK4) (lacthna productions)",AUD,,,FLAC 24,
,,,,,
,,,,,
,,,,,
,,,,,
Jonsi,Versions,,,File Type,
Drive - E,,,,,
,,,,,
,,,,,
[2010],,,,,
3-26-2010 / Mills Studio (Tour Rehearsal Practice),,,,FLAC,
3-28-2010 / 1Live Premiere Concert (Master),,,,FLAC,
"3-31-2010 / Brussels, Belgium / Club69",,,,FLAC,
"4-17-2010 / San Francisco, CA / Amoeba",,,,FLAC,
"4-18-2010 / Indio, CA / Coachella Festival - Outdoor Stage",AUD,,,FLAC,
"4-19-2010 / Santa Monica, CA / KCRW Radio FM Broadcast",FM,,,FLAC,
"4-27-2010 / Chicago, IL / Vic Theatre",AUD,,,FLAC,
"5-26-2010 / London, UK / HMV Forum",AUD,,,FLAC,
"5-29-2010 / Brussels, Belgium / Ancienne Belgique",,,,FLV,
"5-XX-2010 / New York, NY / Cemetary Gates (Master)",,,,FLAC,
"6-2-2010 / Amsterdam, The Netherlands / Paradiso",AUD,2 sources,,FLAC + FLV,Video
