"5-1-2013 / Orlando, FL / House of Blues (Schoeps MK5) (datfly)",AUD,FLAC,
"5-7-2013 / Bethlehem, PA / Sands Casino Events Center (SP-CMC4s) (noexcusses17)",AUD,FLAC,
"5-15-2013 / Milwaukee, WI / Eagles Ballroom (Schoeps MK41s) (darktrain)",AUD,FLAC,
"5-15-2013 / Milwaukee, WI / Eagles Ballroom (Edirol R-09) (Source 2) ",AUD,FLAC,
"5-18-2013 / Camden, NJ / Susquehana Bank Center (Zoom H2) (bootlegottawa)",AUD,FLAC,
"6-15-2013 / Castle Donington, England / Donington Park (SP-CMC-4U) (andylgr)",AUD,FLAC,
"7-14-2013 / Ottawa, Ontario / Ottawa Bluesfest (Zoom H2) bootlegottawa)",AUD,FLAC,
"8-16-2013 / Bristow, VA / Jiffy Lube Live (CA-14s) (unk)",AUD,FLAC 24,
"8-20-2013 / Toronto, Ontario / Molson Amphitheatre (Zoom H2) (unk)",AUD,FLAC,
"9-19-2013 / Rio de Janeiro, BR / Cidade Do Rock - Rock In Rio MultiShow (TV) (deer 5001)",TV,DVD,
"11-11-2013 / Manchester, England / Academy (SP-CMC-4U)  (andylgr)",AUD,FLAC,
,,,
[2014],,,
"3-9-2014 / Kanagawa, Japan / Yokohama Bay Hall (DSM+PCM-D100) (unk)",AUD,FLAC,
"3-10-2014 / Tokyo, Japan / Shinkiba Studio Coast (DSM+PCM-D50) (unk)",AUD,FLAC,
"5-10-2014 / Mashantucket, CT / Grand Theater at Foxwoods (Sennheiser ME-104s) (ringfedder)",AUD,FLAC,
"5-17-2014 / Cincinnati, OH / The Shoe at Horseshoe Casino (DPA 4060) (charles dewey)",AUD,FLAC,
"7-6-2014 / Knebworth Park, UK / Sonisphere - Apollo Stage (SP-CMC-8) (unk)",AUD,FLAC,
,,,
[2015],,,
"7-24-2015 / Oakland, CA / Fox Theatre (Sony M10) (armogi)",AUD,FLAC 24,
"8-4-2015 / Milwaukee, WI / Eagles Ballroom (Schoeps MK41s) (darktrain)",AUD,FLAC,
"8-6-2015 / Cincinnati, OH / The Shoe at Horseshoe Casino (CSB) (charles dewey)",AUD,FLAC,
"8-8-2015 / Nashville, TN / Ryman Auditorium (Schoeps MK41s) (darktrain)",AUD,FLAC,
,,,
[2016],,,
"7-3-2016 / Chicago, IL / Soldier Field (Edirol R09H) (unk)",AUD,FLAC,
"7-22-2016 / Verona, NY / Turning Stone Casino (Zoom H1) (besley)",AUD,FLAC,
"8-12-2016 / Seattle, WA / Century Link Field (Edirol) (unk)",AUD,FLAC,
"9-23-2016 / Thackerville, OK / Winstar World Casino (Zoom H2) (unk)",AUD,FLAC,
,,,
[2018],,,
"5-10-2018 / Atlanta, GA / Coca-cola Roxy Theatre (SS-DSM6) (ballsdeep)",AUD,FLAC,
"5-15-2018 / Chicago, IL / Riviera Theatre (SS-DSM-6P) (ballsdeep)",AUD,FLAC,
"5-19-2018 / Camden, NJ / BB&T Pavilion (SP-CMC-8) (porcelmc)",AUD,FLAC,
"6-24-2018 / Clisson, France / Val de Moine - Hellfest",Webcast,TS,
"7-7-2018 / Montreux, Switzerland / Montreux Jazz Lab (CA-11) (leifh)",AUD,FLAC,
"9-16-2018 / San Diego, CA / Del Mar Fairgrounds - KABOO Festival (indykid)",Webcast,DVD,
,,,
[2019],,,
"5-25-2019 / London, UK / SSE Arena (AT933) (humbug)",AUD,FLAC,
"6-7-2019 / Nurburgring, Germany / Rock am Ring (upgrade)",Webcast,MKV,
"6-20-2019 / Moscow, Russia / Adrenaline Stadium (DSM-6S/L) (lushka)",AUD,FLAC 24,
