A Perfect Circle,Versions,File Type,
Drive - B,,,
,,,
"1-22-2004 / Madrid, Spain / Sala La Riviera (ECM-717s) (neognosis rip) (unk)",AUD,FLAC,
"1-25-2004 / Milano, Italy / C-side (DAB) (marco meloni)",AUD,FLAC,
"1-30-2004 / Tilburg, Holland / 013 (Sharp MD-MT88) (unk)",AUD,FLAC,
"1-31-2004 / Paris, France / Le Zenith - DAT(M) (ECM-959) (franck)",AUD,FLAC,
"1-31-2004 / Paris, France / Le Zenith (Sony ECM-DS70P) (teething)",AUD,FLAC,
"1-31-2004 / Paris, France / Le Zenith - DAT(M) (Soundman OKM-IIr) (fbz)",AUD,FLAC,
"1-31-2004 / Paris, France / Le Zenith *Shades of Live",Silver CD,FLAC,*Limited Edition of 50
"2-6-2004 / Glasgow, Scotland / Academy - MD(M) (SP-CMC-2) (gary barrett)",AUD,FLAC,
"2-7-2004 / Manchester, England / Apollo (unk)",AUD,FLAC,
"2-8-2004 / Nottingham, England / Rock City (ECM-717) (rob)",AUD,FLAC,
"2-17-2004 / Auckland, NZ / North Shore Event Centre (CSC) (karl rice)",AUD,FLAC,
"2-19-2004 / Brisbane, Australia / Brisbane Convention Centre (CSB) (audiowhore)",AUD,FLAC,
"2-20-2004 / Sydney, Australia / NSW @ Hordern Pavilion (Sony ECM-DS70P) (ben fairfax)",AUD,FLAC,
"3-2-2004 / Tokyo, Japan / Zepp Tokyo (Aiwa mic) (unk)",AUD,FLAC,
"3-2-2004 / Tokyo, Japan / Zepp Tokyo (SS DSM6s) (unk)",AUD,FLAC,
"3-20-2004 / Denver, CO / Magness Arena (CSC) (tractor)",AUD,FLAC,
"3-21-2004 / Albuquerque, NM / Albuquerque Convention Center (CSB) (karl frinkle)",AUD,FLAC,
"3-24-2004 / Dallas, TX / Nextstage (CSB) (adam lancaster)",AUD,FLAC,
"3-26-2004 / Amarillo, TX / Civic Center (CSB) (adam lancaster)",AUD,FLAC,
"3-27-2004 / El Paso, TX / Don Haskins Center (CSC) (eric a.)",AUD,FLAC,
"3-28-2004 / Phoenix, AZ / Dodge Theatre (CSB) (desert_rat)",AUD,FLAC,
"4-3-2004 / San Francisco, CA / Bill Graham Civic Auditorium (CSB) (freevia3.0)",AUD,FLAC,
"4-4-2004 / Sacramento, CA / Memorial Auditorium (unk)",AUD,FLAC,
"4-7-2004 / Long Beach, CA / Long Beach Arena (SP-CMC-2) (vansmack)",AUD,FLAC,
"4-7-2004 / Long Beach, CA / Long Beach Arena (CSB) (distortion)",AUD,FLAC,
"4-10-2004 / Salem, OR / Salem Armory (CSB) (lavatinge)",AUD,FLAC,
"4-16-2004 / Chicago, IL / UIC Pavilion (CSB) (karl schneider)",AUD,FLAC,
"4-16-2004 / Chicago, IL / UIC Pavilion (unk MD) (hazekiah)",AUD,FLAC,
"4-18-2004 / Moline, IL / Mark of the Quad Cities (unk) (rico)",AUD,FLAC,
"4-20-2004 / Cincinnati, OH / Taft Theatre (CSB) (geordy)",AUD,FLAC,
"4-22-2004 / Toronto, Canada / Ricoh Coliseum (CSC) (orestesluna)",AUD,FLAC,
"4-23-2004 / Cleveland, OH / Tower City Amphitheatre (DAB) (marky)",AUD,FLAC,
"4-23-2004 / Cleveland, OH / Tower City Amphitheatre (Sony ECM-907) (nameloc)",AUD,FLAC,
"4-23-2004 / Cleveland, OH / Tower City Amphitheatre (Schoeps MK41) (thirdofthree)",AUD,FLAC,
"4-24-2004 / Auburn Hills, MI / The Palace of Auburn Hills (CSB) (galen)",AUD,FLAC,
"4-26-2004 / Rochester, NY / Blue Cross Arena (MK4) (scott)",AUD,FLAC,
"4-26-2004 / Rochester, NY / Blue Cross Arena (Radioshack 33-3028) (toolmanwill)",AUD,FLAC,
"4-27-2004 / Camden, NJ / Tweeter Center (DPA 4060s) (crimson)",AUD,FLAC,
"4-30-2004 / Worcester, MA / The Centrum Centre (SP-CMC-8) (pg)",AUD,FLAC,
"5-2-2004 / Fairfax, VA / Patriot Center (DPA 4021) (mattd)",AUD,FLAC,
"5-4-2004a / Hershey, PA / Giant Center - Soundcheck (Shure P7R IEM) (cps)",IEM,FLAC,
"5-4-2004 / Hershey, PA / Giant Center (Shure P7R IEM) (cps)",IEM,FLAC,
"5-6-2004 / Atlantic City, NJ / Trump Taj Mahal (MiniDV) (unk)",AUD,DVD,
"5-7-2004 / Uniondale, NY / Nassau Coliseum (MiniDV) (unk)",AUD,DVD,
"5-7-2004 / Uniondale, NY / Nassau Coliseum (CSB) (tooldvn)",AUD,FLAC,
"5-7-2004 / Uniondale, NY / Nassau Coliseum - K-Rock Radio",FM,FLAC,
