Ryan Adams,Versions,File Type,
"5-16-2005 / Poughkeepsie, NY / The Bardavon Opera House (AKG C1000S) (robby grossman)",SBD,FLAC,
"5-16-2005 / Poughkeepsie, NY / The Bardavon Opera House (kevin wathen)",AUD,FLAC,
"5-17-2005 / Boston, MA / Avalon Ballroom (kevin wathen)",SBD,FLAC,
"6-3-2005 / Clifton Park, NY / Northern Lights",SBD,FLAC,
"6-4-2005 / Sayreville, NJ / Starland Ballroom (kevin wathen)",SBD,FLAC,
"6-4-2005 / Sayreville, NJ / Starland Ballroom (Studio Projects)",AUD,FLAC,
"6-5-2005 / Norfolk, VA / The NorVa (kevin wathen)",SBD,FLAC,
"6-7-2005 / Baltimore, MD / Meyerhoff Symphony Hall (kevin wathen)",SBD,FLAC,
"6-8-2005 / Raleigh, NC / Meymandi Concert Hall (kevin wathen)",SBD,FLAC,
"6-10-2005 / Charleston, SC / N. Charleston Performing Arts Center (Schoeps MK41) (jim pollock)",AUD,FLAC 24,
"6-11-2005 / N. Myrtle Beach, SC / House of Blues",AUD,FLAC,
"6-15-2005 / Houston, TX / Verizon Ampitheater (kevin wathen)",SBD,FLAC,
"6-16-2005 / Austin, TX / Stubb's",SBD,FLAC 24,
"6-16-2005 / Austin, TX / Stubb's (DPA 4022) (rick bendes)",AUD,FLAC 24,
"6-17-2005 / Dallas, TX / Gypsy Tea Room (kevin wathen)",SBD,FLAC,
"6-19-2005 / Birmingham, AL / City Stages (kevin wathen)",SBD,FLAC,
"7-23-2005 / Byron Bay, Australia / Splendour in the Grass (dave k.)",SBD,FLAC,
"7-26-2005 / Sydney, Australia / Enmore Theatre (dave k.)",SBD,FLAC,
"7-27-2005 / Melbourne, Australia / The Palace at St. Kilda Beach (ECM-MS907) (malcolm pratt)",AUD,FLAC,
"7-27-2005 / Melbourne, Australia / The Palace at St. Kilda Beach ",SBD,FLAC,
"7-30-2005 / Nigata, Japan / Field of Heaven - Fuji Rock Festival (Rode NT-2) (yutaka enomoto)",AUD,FLAC,
"8-5-2005 / Sandpoint, ID / Festival @ Sandpoint (dave k.)",SBD,FLAC,
"8-7-2005 / Edmonton, Ontario / Edmonton Folk Festival (dave k.)",SBD,FLAC,
"8-9-2005 / Vancouver, BC / Commodore (kevin wathen)",SBD,FLAC,
"9-18-2005 / New York, NY / Irving Plaza - Mojo Aid (dan billmeyer)",SBD,FLAC,
"11-18-2005 / New York, NY / Tribecca Performing Arts Center (kevin wathen)",SBD,FLAC,
"11-18-2005 / New York, NY / Tribecca Performing Arts Center",AUD,FLAC,
,,,
[2006],,,
"2-14-2006 / Gateshead, UK / Sage Center (johnc)",SBD,FLAC,
"2-15-2006 / Glasgow, Scotland / Carling Academy (evangeline remaster)",SBD,FLAC,
"2-15-2006 / Glasgow, Scotland / Carling Academy (wirralgirl remaster)",SBD,FLAC,
"2-17-2006 / Nottingham, England / Nottingham Royal Centre - MD(M) (thomas bauer)",SBD,FLAC,
"2-18-2006 / Liverpool, UK / The Philharmonic (Sony Sharp MD) (tradewalker)",AUD,FLAC,
"2-18-2006 / Liverpool, UK / The Philharmonic (johnc)",SBD,FLAC,
"2-20-2006 / Manchester, UK / Bridgewater Hall (johnc)",SBD,FLAC,
"2-21-2006 / Bristol, UK / Colston Hall (jon carter)",SBD,FLAC,
"2-24-2006 / London, UK / Apollo Victoria Theatre (john)",SBD,FLAC,
"4-23-2006 / Seattle, WA / Moore Theater",SBD,FLAC,
"4-24-2006 / Portland, OR / Roseland Theatre (chris migliaccio)",SBD,FLAC,
"4-26-2006 / San Francisco, CA / Palace of Fine Arts",AUD,FLAC,
"4-27-2006 / San Francisco, CA / 12 Galaxies",AUD,FLAC,
"6-23-2006 / New York, NY / The Bowery  (kevin wathen)",SBD,FLAC,
"7-20-2006 / Sayreville, NJ / The Starland Ballroom / Sayreville Nights (ADK a51s + SBD)",MTX,FLAC,
"7-20-2006 / Sayreville, NJ / The Starland Ballroom / Sayreville Nights  (kevin wathen)",SBD,FLAC,
"7-20-2006 / Sayreville, NJ / The Starland Ballroom / Sayreville Nights (ADK a51s) (jerry c.)",AUD,FLAC,
"7-21-2006 / Baltimore, MD / The Sonar / Baltimore Nights",MTX,FLAC,
"7-22-2006 / Norfolk, VA / The NorVA (B&K4022 + SBD) (craig davis)",MTX,FLAC,
"7-23-2006 / Charlottesville, VA / Charlottesville Pavilion (B&K4022 + SBD) (craig davis)",MTX,FLAC,
"7-23-2006 / Charlottesville, VA / Charlottesville Pavilion (kevin wathen)",SBD,FLAC,
"7-25-2006 / Knoxville, TN / The Bijou Theatre / Knoxville Nights (joel swaney)",SBD,FLAC,
