The Flaming Lips,Versions,File Type
"4-19-2010 / Montclair, NJ / Live at the Wellmont Theater (CSC)",AUD,FLAC 24
"4-22-2010 / Bloomington, IN / IU Auditorium (drewmanchu)",AUD,FLAC 24
"6-11-2010 / Manchester, TN / Bonnaroo Music & Arts Festival (willsfc)",AUD,FLAC
"7-11-2010 / Louisville, KY / Forecastle Festival - Waterfront Park (Schoeps MK21)",AUD,FLAC
"7-27-2010 / New York, NY / Terminal 5 - Spin Webcast",TV,FLAC
"9-26-2010 / Vancouver, BC / Malkin Bowl (seth meister)",MTX,FLAC 24
"12-31-2010 / Oklahoma City, OK / Cox Convention Center - New Years Eve Freak Out 2010 Becomes 2011 *The Soft Bulletin Live (yodapoops)",AUD,FLAC
,,
[2011],,
"1-1-2011 / Oklahoma City, OK / Cox Convention Center (drock & jimbo)",MTX,FLAC
"4-3-2011 / Santiago, Chile / Parque O'Higgins (MM-MCSM-4) (rony kohn)",AUD,FLAC
"4-5-2011 / Buenos Aires, Argentina / GEBA (MM-MCSM-4) (rony kohn)",AUD,FLAC
"5-21-2011 / Gulf Shores, AL / Hangout Beach Music & Arts Festival - Surf Style Stage (mstaper)",AUD,FLAC
"6-14-2011 / Hollywood, CA / Hollywood Forever Cemetery (macdaddy)",AUD,FLAC
"6-15-2011 / Hollywood, CA / Hollywood Forever Cemetery (macdaddy)",AUD,FLAC
"7-1-2011 / London, England / Alexandra Palace (MM-MCSM-4) (rony kohn) ",AUD,FLAC
,,
[2012],,
"5-20-2012 / Gulf Shores, AL / Hangout Music Festival (mstaper)",AUD,FLAC
,,
[2013],,
"3-15-2013 / Austin, TX / Auditorium Shores",AUD,FLAC
"5-4-2013 / Chattanooga, TN / Track 29 (john m)",AUD,FLAC
5-23-2013 / Maida Vale Studio / Live on BBC6 - 30th Anniversary Radio Show,FM,FLAC
,,
[2014],,
"7-15-2014 / Minneapolis, MN / First Avenue - Mainroom (perks)",AUD,FLAC
"9-14-2014 / Minneapolis, MN / First Avenue (dementian27)",AUD,FLAC
,,
[2018],,
"7-21-2018 / London, UK / Kaleidescope - Alexandra Park (DPA 4061s)",AUD,FLAC
,,
[2019],,
"7-26-2019 / Indianapolis, IN / White River State Park (Sony ICD-PX470) (unk) ",AUD,FLAC
"7-30-2019 / Port Chester, NY / Capitol Theater",SBD,FLAC
"8-30-2019 / La Tour-de-Peilz, Switzerland / Jardin Roussy",Webcast,MP4
"9-28-2019 / Brisbane, Australia / Fortitude Music Hall (audiowhore)",AUD,FLAC
,,
[2020],,
"9-14-2020 / Salford, UK / Steve Lamacq Show - BBC 6 Music",FM,TS
,,
[2021],,
"8-26-2021 / Costa Mesa, CA / Pacific Coast Amphitheater (CA-11) (chris mcgrath)",AUD,FLAC
,,
[2022],,
4-8-2022 / St. Paul MN / Palace Theatre (CA-14s) (roffels),AUD,FLAC
"5-30-2022 / Aylesbury, UK / Waterside Theatre (DPA 4060s) (unk) ",AUD,FLAC
"10-20-2022 / Montclair, NJ / Wellmont Theater (Edirol R-09) (madelf)",AUD,FLAC
,,
[2023],,
"3-1-2023 / Vancouver, BC / Commodore Ballroom (CA-11) (leifh)",AUD,FLAC 24
"4-28-2023 / London, UK / Apollo (DPA 4060s) (unk)",AUD,FLAC
"5-11-2023 / Nashville, TN / Ryman Auditorium (AT898) (ed broll) ",AUD,FLAC 24
"6-8-2023 / Brooklyn, NY / Kings Theater (Edirol R-09) (madelf)",AUD,FLAC
"8-7-2023 / New Haven, CT / College Street Music Hall (Schoeps MK41s) (spitback)",AUD,FLAC
"8-18-2023 / Los Angeles, CA / YouTube Theater (SP-CMC-4U) (coolerluzi)",AUD,FLAC 24
"8-20-2023 / San Francisco, CA / Stern Grove (Schoeps MK4) (loughney)",AUD,FLAC
,,
[2024],,
"9-7-2024 / Columbus, OH / Nationwide Arena (DPA4061) (mitaper78)",AUD,FLAC
"9-14-2024 / Washington, DC / The Anthem (CAFS Omnis) (madonna) ",AUD,FLAC 24
