Jimi Hendrix,Versions,File Type,
"5-2-1970 / Madison, WI / Dane County Coliseum (2 source merge)",MIX,FLAC,
"5-3-1970 / St. Paul, MN / St. Paul Civic Center *Does Everybody Feel Alright (JPIO 028)",AUD,FLAC,
"5-8-1970 / Norman, OK / University of OK (Late show) (Master reels)",AUD,SHN,
"5-9-1970 / Fort Worth, TX / Will Rogers Stadium",AUD,FLAC,
"5-10-1970 / San Antonio, TX / Convention Center Arena",AUD,FLAC,
"5-10-1970 / San Antonio, TX / Convention Center Arena (Master) ATM 251-252",AUD,FLAC,
"5-16-1970 / Philadelphia, PA / Temple Stadium (Jimi and the Grateful Dead)",AUD,FLAC,
"5-30-1970 / Berkely, CA / Berkeley Community Theatre (Afternoon Soundcheck) Bob Terry Tape #13",SBD,FLAC,
"5-30-1970 / Berkeley, CA / Berkeley Community Theatre (Early show)",SBD,FLAC,
"5-30-1970 / Berkeley, CA / Berkeley Community Theatre (Late show)",SBD,FLAC,
"6-7-1970 / Tulsa, OK / Civic Assembly Arena (fd cleanup v2)",MIX,FLAC,
"6-10-1970 / Evansville, IN / Roberts Municipal Stadium *Indiana Jones in the Heartland (markj)",AUD,FLAC,
"6-13-1970 / Baltimore, MD / Civic Center (kip betz source)",AUD,APE,
6-15-1970 / Jimi Hendrix & Traffic - A Session,,SHN,
"6-20-1970 / San Bernadino, CA / Swing Auditorium",AUD,SHN,
"6-26-1970 / New York, NY / Record Plant - Valleys of Neptune Session (Jimi Hendrix & Billy Cox)",SBD,FLAC,
"6-27-1970 / Boston, MA / Boston Garden - ANA(M) (hezekiahx2) (krw_co transfer)",AUD,FLAC24 ,
"6-27-1970 / Boston, MA / Boston Garden *Boston '70 (3rd source master)",AUD,FLAC,
7-XX-1970 / Electric Lady Recording Mixing Session,AUD,FLAC,
7-1-1970 / First Rays in Maui (Bob Terry Tape) (fd compilation),SBD,FLAC,
7-4-1970 / 2nd International Atlanta Pop Festival ,SBD,FLAC,
"7-17-1970 / Randall's Island, NY / New York Pop",SBD,FLAC,
"7-26-1970 / Seattle, WA / Sicks Stadium (ATM 226)",AUD,FLAC,
"7-30-1970 / Maui, HI / Haleakala Volcano Crater - Maui Wowee (Both sets) (Bob Terry)",SBD,FLAC,
"8-1-1970 / Honolulu, Hawaii / Honolulu International Center Arena (jim & bill worthley)",AUD,FLAC,
8-30-1970 / Isle of Wight,SBD,FLAC,
8-30-1970 / Isle of Wight (tim welch collection),AUD,FLAC,
"8-31-1970 / Stockholm, Sweden / Grona Lund (doinker)",AUD,FLAC,
"9-1-1970 / Gothenburg, Sweden / Stora Scenen - Liseberg (earthblues)",AUD,SHN,
"9-2-1970 / Arhus, Denmark / Vejlby-Risskov Hallen (chasm)",AUD,APE,
"9-2-1970 / Arhus, Denmark / Vejlby-Risskov Hallen (2nd gen)",AUD,FLAC,
"9-3-1970 / Copenhagen, Denmark / K.B. Hallen (fd cleanup)",AUD,FLAC,
"9-4-1970 / Berlin, Germany / Deutschlandhalle *Superconcert '70 (chasm)",AUD,SHN,
"9-6-1970 / Insel Fehmarn, Germany / Love and Peace Festival *Away From This Rainy Cloud (Last show)",MATRIX,FLAC,
"9-16-1970 / London, UK / Ronnie Scott's Club (Last recording of his life)",AUD,SHN,
9-18-1970 / Various News Reports,VAR,FLAC,
,,,
[2010],,,
"11-27-2010 / New York, NY / B.B. King's - Jimi's 68th Birthday Tribute (Zoom H4) (bob pitlak) ",AUD,FLAC,
,,,
[MISC],,,
1966 / In the Beginning (1972 Release),Vinyl,FLAC,
1967 BBC DAT Masters (2CD),,FLAC,
1967-1969 - Come On And Get Live,,FLAC,
XX-XX-1967 / Out of the Studio - Demo's from '67,,FLAC,
1968 - Studio Leftovers,,,
"51st Anniversary (Various Dates, Live, and Studio) 4 Volumes (8 cds)",,FLAC,
Alfred E Newman On Bass 17,AUD,FLAC,
All Along the Watchtower - Come On Pt. 1 Sessions,Studio,FLAC,
Are You Experienced (Acetates/Demos/Remixes),Cassette,FLAC,
Angel - Drifting Bob Terry Tape #5,,FLAC,
A Sea of Forgotten Teardrops (1970),,FLAC,
Jimi Hendrix - Backup Tracks,,FLAC,
Ball & Chain,,FLAC,
BBC Archives From Original Tapes 67-68,,FLAC,
BBC DAT Masters,,FLAC,
Before and After (Ezy Ryder EZY-003),,FLAC,
Black Devil,,FLAC,
Blue Window,,FLAC,
Blues at Midnight,,FLAC,
Blues Project Outtakes (2LP),,FLAC,
Bob Terry Studio Tapes 20 & 22,,FLAC,
Both Sides of the Sky,,FLAC,
Bring It On Home,,FLAC,
Burning of the Midnight Lamp (Mixing Session Edit),,FLAC,
Calling Long Distance,,APE,
"Can You Hear Me Rock (Hemero 01, FRA 1980) 2LP",Vinyl,FLAC,
Can You Please Crawl Out Your Window,Vinyl,FLAC,
Caruso Insult - Room Full of Mirrors Poetry Recital - Bob Terry Tape,,FLAC,
Cat's Squirrel,,FLAC,
California Experience,,FLAC,
Capricorn Tape: Outtakes 1968-1970,,FLAC,
Complete PPX Studio Recordings,,FLAC,
