Primus,Versions,File Type,
"8-28-1998 / Petaluma, CA / Rancho Relaxo (Les's home) - Private Party with others",SBD,FLAC,
"10-14-1998 / Petaluma, CA / Pheonix Theater (Neumann KM140s) ",AUD,FLAC,
"12-31-1998 / San Francisco, CA / Warfield Theatre (Neumann KM140s) ",AUD,FLAC,
"12-31-1998 / San Francisco, CA / Warfield Theatre (unk)",AUD,FLAC,
,,,
[1999],,,
"5-29-1999 / Atlanta, GA / Lakewood Amphitheatre (Ozzfest) - ANA(1) (Radioshack)",AUD,FLAC,
"6-12-1999 / Burgettstown, PA / Star Lake Amphitheatre (Ozzfest) (Sharp MS702)",AUD,FLAC,
"6-14-1999 / Columbus, OH / Polaris Amphitheatre (Ozzfest) (unk)",AUD,FLAC,
"6-16-1999 / Mansfield, MA / Tweeter Center (Ozzfest)",AUD,FLAC,
"6-25-1999 / Detroit, MI / Pine Knob Amphitheatre (Ozzfest) (Radioshack Tape Deck)",AUD,FLAC,
"6-27-1999 / Detroit, MI / Pine Knob Amphitheatre (Ozzfest) - ANA(1)",AUD,FLAC,
"7-1-1999 / Somerset, WI / Float Rite Park Amphitheatre (Ozzfest) (AT853s)",AUD,FLAC,
"7-2-1999 / Denver, CO / Ogden Theater (CSBs) (sxpxdxcx)",AUD,FLAC,
"7-16-1999 / Vancouver, BC / Thunderbird Stadium (Ozzfest)",SBD,FLAC,
"7-16-1999 / Vancouver, BC / Thunderbird Stadium - Ozzfest (ECM-DS70P) (unk)",AUD,FLAC,
"7-20-1999 / Mountain View, CA / Shoreline Amphitheatre (Ozzfest)",AUD,FLAC,
"7-22-1999 / Phoenix, AZ / Desert Sky Pavilion (Ozzfest)",AUD,FLAC,
"7-24-1999 / Devore, CA / Blockbuster Pavilion (Ozzfest) (inc)",AUD,FLAC,
"7-25-1999 / Las Vegas, NV / House of Blues (Netcast)",SBD,FLAC,
"9-6-1999 / Crested Butte, CO / One World Festival",SBD,FLAC,
"9-10-1999 / Providence, RI / Civic Center (Neumann KM140)",AUD,FLAC,
"10-17-1999 / Tocoma, WA / Tocoma Dome (CSBs)",AUD,FLAC,
"10-19-1999 / San Francisco, CA / Cow Palace (Schoeps MK4)",AUD,FLAC,
"10-30-1999 / San Antonio, TX / Alamo Dome (Aiwa Lapel)",AUD,FLAC,
"11-6-1999 / Cleveland, OH / Agora Theater - MD>CDR",AUD,FLAC,
"11-7-1999 / Toronto, Ontario / The Warehouse (Coresound Cardioids)",AUD,SHN,
"11-11-1999 / New York, NY / Roseland Ballroom",AUD,FLAC,
"11-13-1999 / Philadelphia, PA / The Electric Factory (ATR822)",AUD,FLAC,
"11-16-1999 / Pittsburgh, PA / The Metropol - MD(1)",AUD,FLAC,
"11-16-1999 / Pittsburgh, PA / The Metropol - MD(M) (SP-BMC-1)",AUD,FLAC,
"11-19-1999 / Milwaukee, WI / Eagles Ballroom",AUD,FLAC,
"11-22-1999 / New Orleans, LA / State Palace Theatre",AUD,FLAC,
"11-22-1999 / New Orleans, LA / State Palace Theatre (Sony mic)",AUD,FLAC,
"11-27-1999 / Kansas City, MO / Uptown Theatre (ga5150 transfer)",AUD,FLAC,
"12-29-1999 / Sacramento, CA / Arco Arena (EMC-MS-907) (big d.)",AUD,FLAC,
,,,
[2000],,,
"2-3-2000 / Fresno, CA / Rainbow Ballroom (CSB)",AUD,FLAC,
"2-4-2000 / Anaheim, CA / Sun Theatre (Sony ECM959A)",AUD,FLAC,
"2-5-2000 / San Diego, CA / Montezuma Hall (AT953s)",AUD,FLAC,
"2-7-2000 / Phoenix, AZ / Celebrity Theater",AUD,FLAC,
"2-18-2000 / Providence, RI / Lupos Heartbreak Hotel (CSB)",AUD,FLAC,
"2-21-2000 / Burlington, VT / UVM Fieldhouse - DAT(c) (Sony stereo mic)",AUD,FLAC,
"2-21-2000 / Burlington, VT / UVM Fieldhouse (Handheld Cassette Recorder)",AUD,FLAC,
"2-22-2000 / Rochester, NY / Harro East Ballroom (thir13en remaster)",FM,FLAC,
"2-22-2000 / Rochester, NY / Harro East Ballroom",FM,FLAC,
"2-26-2000 / Kalamazoo, MI / State Theatre (Low cost cardioids)",AUD,FLAC,
"3-25-2000 / Lake Havasu, AZ / Rockfest",AUD,FLAC,
"4-16-2000 / Sydney, Australia / Sydney Metro Theatre",AUD,FLAC,
"4-17-2000 / Sydney, Australia / Sydney Metro Theatre",AUD,FLAC,
"4-19-2000 / Newcastle, Australia / Newcastle University",AUD,FLAC,
"4-29-2000 / San Francisco, CA / Fillmore West (Neumann KM140s)",AUD,FLAC,
,,,
[2003],,,
"10-14-2003 / Davis, CA / Freeborn Hall UC Davis (PrimusLive)",SBD,FLAC,Official Bootleg
"10-14-2003 / Davis, CA / Freeborn Hall UC Davis (Rode NT-5s) (john gromley)",AUD,SHN,
"10-15-2003 /  Las Vegas, NV / The Joint (PrimusLive)",SBD,FLAC,Official Bootleg
"10-17-2003 / Los Angeles, CA / Wiltern Theatre (PrimusLive)",SBD,FLAC,Official Bootleg
"10-17-2003 / Los Angeles, CA / Wiltern Theatre (steve)",AUD,FLAC,
"10-17-2003 / Los Angeles, CA / The Wiltern - DAT(M) (Schoeps mk4v) (jim charna, sean simpson)",AUD,FLAC,
"10-18-2003 / Los Angeles, CA / Wiltern Theatre (PrimusLive)",SBD,SHN,Official Bootleg
