Counting Crows,Versions,File Type,
"3-20-1997 / Milwaukee, WI / Riverside Theater (unk)",AUD,FLAC,
"4-1-1997 / Seattle, WA / Paramount Theater (unk)",AUD,FLAC,
"4-4-1997 / Berkeley, CA / Greek Theater",AUD,FLAC,
"4-10-1997 / Burbank, CA / NBC Studios - Tonight Show with Jay Leno",TV,FLAC,
"4-13-1997 / Denver, CO / Paramount Theater (unk)",AUD,FLAC,
"4-14-1997 / Salt Lake City, UT / Kingsbury Hall",AUD,FLAC,
"5-5-1997 / Dublin, Ireland / Dublin Castle",AUD,FLAC,
"5-7-1997 / Newcastle, Wales / City Hall (unk)",AUD,FLAC,
"5-14-1997 / Manchester, England / Apollo",AUD,FLAC,
"5-15-1997 / London, UK / Shepherds Bush Empire",FM,FLAC,
"5-17-1997 / London, England / Later with Jools Holland",TV,FLAC,
"5-18-1997 / Ghent, Belgium / Vooruit (unk)",AUD,FLAC,
"5-19-1997 / Landgraaf, Holland / Pinkpop Festival (inc)",FM,FLAC,
"5-19-1997 / Landgraaf, Holland / Pinkpop Festival",PRO,DVD,
"5-21-1997 / Paris, France / Elysee Montmartre",Silver CD,FLAC,
"5-27-1997 / Copenhagen, Denmark / The Vega (unk)",AUD,FLAC,
"5-29-1997 / Amsterdam, Holland / Paradiso (unk)",AUD,FLAC,
"6-8-1997 / Milan, Italy / Rolling Stone Club (Aiwa CM-30) (zuma66)",AUD,FLAC,
"6-10-1997 / Barcelona, Spain / Zeleste",AUD,FLAC,
"6-21-1997 / Ft. Worth, TX / Texas Motor Speedway (VH1 Broadcast) (unk)",AUD,FLAC,
"7-2-1997 / Indianapolis, IN / Deer Creek",AUD,FLAC,
"7-3-1997 / Milwaukee, WI / Marcus Amphitheatre (unk)",AUD,FLAC,
"7-5-1997 / Tinley Park, IL / New World Music Theatre (unk)",AUD,FLAC,
"7-8-1997 / Cincinnati, OH / Riverbend Amphitheatre (unk)",AUD,FLAC,
"7-12-1997 / Pittsburgh, PA / Starlake Amphitheatre (unk)",AUD,FLAC,
"7-14-1997 / Holmdel, NJ / PNC Arts Center",AUD,FLAC,
"7-15-1997 / Hershey, PA / Hershey Park Stadium (unk)",AUD,FLAC,
"7-17-1997 / Wantaugh, NY / Jones Beach Amphitheatre (unk)",AUD,FLAC,
"7-17-1997 / Wantagh, NY / Jones Beach (Nugs.net)",SBD,FLAC,Official Bootleg
"7-18-1997 / Wantaugh, NY / Jones Beach Amphitheatre",AUD,FLAC,
"7-26-1997 / Camden, NJ / Sony Music Entertainment Center - Blockbuster",AUD,FLAC,
"7-27-1997 / Sarasota Springs, NY / Saratoga Performing Arts Center (CoreSound Stealth) (unk)",AUD,FLAC,
"7-29-1997 / Harford, CT / Meadows Music Theater (unk)",AUD,FLAC,
"8-1-1997 / Columbia, MD / Merriweather Post Pavilion *Adam's birthday show (99.1 HFS Radio)",FM,FLAC,
"8-1-1997 / Columbia, MD / Merriweather Post Pavilion *Adam's birthday show *August the First (remaster)",MTX,FLAC,
"8-1-1997 / Columbia, MD / Merriweather Post Pavilion *Adam's birthday show *Here Comes the Rain King",Silver CD,FLAC,
"8-2-1997 / Virginia Beach, VA / Virginia Beach Amphitheater",AUD,FLAC,
"8-4-1997 / Atlanta, GA / Chastain Park Amphitheater (Mitsubishi DT-79) (rodney c. transfer)",FM,FLAC,
"8-4-1997 / Atlanta, GA / Chastain Park Amphitheater - DAT(M) (unk)",FM,FLAC,
"8-5-1997 / Atlanta, GA / Chastain Park Amphitheater (unk)",AUD,FLAC,
"8-7-1997 / Raleigh, NC / Walnut Creek Amphitheater",AUD,FLAC,
"8-8-1997 / Charlotte, NC / Blockbuster Pavilion (unk)",AUD,FLAC,
"8-9-1997 / Nashville, TN / Starwood Amphitheater *Flying Over Nashville",AUD,FLAC,
"8-12-1997 / New York, NY / Chelsea Studios - VH1 Storytellers (inc) *Unplugged",TV,FLAC,
"8-12-1997 / New York, NY / Chelsea Studios - VH1 Storytellers (FTU-005)",PRO,DVD,
"8-20-1997 / West Palm Beach, FL / Coral Sky Amphitheatre",AUD,FLAC,
"8-26-1997 / Austin, TX / Frank Erwin Center (unk)",AUD,FLAC,
