Soundgarden,Versions,File Type,
"8-3-1996 / Irvine, CA / Irvine Meadows (Lollapalooza)",AUD,FLAC,
"8-4-1996 / Irvine, CA / Irvine Meadows (Lollapalooza)",AUD,FLAC,
"9-XX-1996 / London, UK / MTV Europe Studios",TV,FLAC,
"9-16-1996 / Glasgow, Scotland / Barrowlands",AUD,FLAC,
"9-16-1996 / Glasgow, Scotland / Barrowlands - ANA(x) (2020 transfer)",AUD,FLAC,
"9-19-1996 / London, UK / Brixton Academy *Blow Up The Outside",Silver CD,FLAC,
"9-20-1996 / London, UK / MTV Studios",TV,FLAC,
"9-20-1996 / London, UK / MTV Studios",TV,DVD,
"9-21-1996 / Barcelona, Spain / Pabellon Val d'Ebron (SS-DSM6P) (ballsdeep)",AUD,FLAC,
"9-21-1996 / Barcelona, Spain / Pabellon Val d'Ebron - DAT(x) (unk) (fortylicks)",AUD,FLAC,
"9-22-1996 / Madrid, Spain / Pieneta Stadium",AUD,FLAC,
"9-25-1996 / Bologna, Italy / Palasport *Puttin' Down Roots",Silver CD,FLAC,
"9-26-1996 / Milan, Italy / Palavobis",AUD,DVD,
"9-28-1996 / Hamburg, Germany / Grosse Freiheit 36 Docks",AUD,FLAC,
"10-2-1996 / Hannover, Germany / Musikhalle",AUD,FLAC,
"10-2-1996 / Hannover, Germany / Musikhalle (AT831b) (tapeworm48 transfer)",AUD (32k),FLAC,
"10-10-1996 / Brussels, Belgium / Vorst National (Sony Walkman) (fedor)",AUD,FLAC,
"10-11-1996 / Rotterdam, The Nethelands / Ahoy",AUD,FLAC,
"10-13-1996 / Copenhagen, Denmark / KB Hallen",AUD,FLAC,
"10-18-1996 / Stockholm, Sweden / Hovet",AUD,FLAC,
"11-6-1996 / Salt Lake City, UT / The Saltaire",AUD,FLAC,
"11-7-1996 / Denver, CO / Mammoth Events Center (M300) (pl)",AUD,FLAC,
"11-7-1996 / Denver, CO / Mammoth Events Center (MarcSounds)",AUD,SHN,
"11-7-1996 / Denver, CO / Mammoth Events Center (exene/bluejane99)",MTX,SHN,
"11-7-1996 / Denver, CO / Mammoth Events Center (MarcSounds) (tapeworm48)",AUD,FLAC,
"11-9-1996 / Chicago, IL / Aragon Ballroom",AUD,FLAC,
"11-10-1996 / Chicago, IL / Aragon Ballroom",AUD,FLAC,
"11-10-1996 / Chicago, IL / Aragon Ballroom(CSB) (tapeworm48)",AUD,FLAC,
"11-12-1996 / Auburn Hills, MI / Palace of Auburn Hills",AUD,FLAC,
"11-15-1996 / New York, NY / Roseland Ballroom",AUD,FLAC,
"11-20-1996 / Fairfax, VA / Patriot Center",AUD,FLAC,
"11-21-1996 / Philadelphia, PA / Electric Factory (master)",AUD,FLAC,
"11-23-1996 / Atlanta, GA / The Omni",AUD,FLAC,
"11-27-1996 / Austin, TX / Austin Music Hall",AUD,FLAC,
"11-29-1996 / Mesa, AZ / Mesa Amphitheatre",AUD,FLAC,
"12-2-1996 / Universal City, CA / Universal Amphitheatre",AUD,FLAC,
"12-5-1996 / Oakland, CA / Henry J. Kaiser Arena",AUD,FLAC,
"12-7-1996 / Vancouver, BC / P.N.E. Forum",AUD,FLAC,
"12-17-1996 / Seattle, WA / Mercer Arena - ANA(1)",AUD (48k),FLAC,
,,,
[1997],,,
"1-27-1997 / Sydney, Australia / Royal Agricultural Showgrounds - Big Day Out Festival (unk)",AUD,FLAC,
"1-27-1997 / Sydney, Australia / Royal Agricultural Showgrounds - Big Day Out Festival (remaster)",AUD,FLAC,
"2-2-1997 / Perth, Australia / Bassendean Oval (Big Day Out Festival)",AUD,FLAC,
"2-2-1997 / Perth, Australia / Bassendean Oval (Big Day Out Festival) (Sony ECM 909a) (franger master)",AUD,FLAC,
"2-8-1997 / Maui, HI / Maui Arts & Cultural Center - CASS(1) (wilson66 transfer) ",AUD,FLAC,
,,,
[2001],,,
"7-6-2011 / Uncasville, CT / Arena @ Mohegan Sun Casino",AUD,FLAC,
,,,
[2006],,,
"9-7-2006 / Stockholm, Sweden / O-Baren",FM,FLAC,
,,,
[2007],,,
"5-20-2007 / Berlin, Germany / Kesselhaus",FM,FLAC,
,,,
[2010],,,
"4-16-2010 / Seattle, WA / The Showbox at the Market",AUD,FLAC,
"8-5-2010 / Chicago, IL / Vic Theater",AUD,FLAC,
"8-5-2010 / Chicago, IL / Vic Theater",,FLAC,
"8-8-2010 / Chicago, IL / Grant Park (Lollapalooza)",PRO,DVD,
"9-27-2010 / Hollywood, CA / Paramount Studios Backlot (Free/Secret Show)",AUD,FLAC,
"12-27-2010 / Burbank, CA / Live on Conan",TV,TS,
,,,
[2011],,,
"7-1-2011 / Toronto, Ontario / Molson Amphitheatre (Soundcheck) (SP-CMC-4)",AUD,FLAC,
"7-2-2011 / Toronto, Ontario / Molson Amphitheatre",AUD,FLAC,
"7-2-2011 / Toronto, Ontario / Molson Amphitheatre",,FLAC,
"7-3-2011 / London, Ontario / John Labbat Centre",AUD,FLAC,
"7-5-2011 / Ottawa, Ontario / Lebreton Flats - Ottawa Bluesfest",AUD,FLAC,
"7-6-2011 / Uncasville, CT / Arena @ Mohegan Sun Casino",AUD,FLAC,
"7-8-2011 / Newark, NJ / Prudential Center (DPA 4061) (unk)",AUD,FLAC,
"7-10-2011 / Mansfield, MA / Comcast Center",AUD,FLAC,
"7-10-2011 / Mansfield, MA / Live At the Tweeter Center (DPA 4061) (bennyblanco)",AUD,FLAC 24,
"7-13-2011 / Philadelphia, PA / Penn's Landing Festival",AUD,FLAC,
"7-14-2011 / Atlantic City, NJ / Borgata Event Center",AUD,FLAC,
"7-16-2011 / Chicago, IL / UIC Pavilion (AT933) (darktrain)",AUD,FLAC,
"7-16-2011 / Chicago, IL / UIC Pavilion (DSM-6S) (twoheadedboy)",AUD,FLAC,
"7-18-2011 / Morrison, CO / Red Rocks Amphitheatre (AT933) (sxpxdxcx)",AUD,FLAC,
"7-21-2011 / San Francisco, CA / Bill Graham Civic Auditorium (CMC34 + CCM4) (raining vodka & the jedi master)",MIX,FLAC,
"7-21-2011 / San Francisco, CA / Bill Graham Civic Auditorium (Sony ECM-719) (unk)",AUD,FLAC,
"7-22-2011 / Inglewood, CA / The Forum (Live Near I-5)",AUD,FLAC,
"7-22-2011 / Inglewood, CA / The Forum (Live Near I-5)",AUD,FLAC,
"7-29-2011 / Vancouver, BC / Rogers Arena (Mono) (audioarchivist)",AUD,FLAC,
"7-29-2011 / Vancouver, BC / Rogers Arena (SP-CMC-8) (chris bold)",AUD,FLAC 24,
"7-30-2011 / George, WA / The Gorge Amphitheater",AUD,FLAC,
"10-26-2011 / Grand Prairie, TX / Verizon Theater",AUD,FLAC,
"10-28-2011 / New Orleans, LA / VoodooFest - City Park",MTX,FLAC,
,,,
[2012],,,
"2-1-2012 / Melbourne, Australia / Sidney Myer Music Bowl",AUD,FLAC,
"2-1-2012 / Melbourne, Australia / Sidney Myer Music Bowl (Sony ECM-717)",AUD #2,FLAC,
