Sonic Youth,Versions,File Type,
"5-6-1998 / Washington, DC / 9.30 Club (SS-DSM-6S) (cdipietro)",AUD,FLAC,
"5-10-1998 / Montreal, Quebec / Metropolis (unk) ",AUD,FLAC,
"5-14-1998 / Detroit, MI / State Theatre - DAT(M) (unk)",AUD,FLAC,
"5-22-1998 / Seattle, WA / Moore Theater (unk)",AUD,DVD,
"5-23-1998 / Seattle, WA / Moore Theater (unk)",AUD,DVD,
"5-25-1998 / San Francisco, CA / The Fillmore - DAT(M) (Sennheiser 441s) (fireball)",AUD,FLAC,
"5-26-1998 / San Francisco, CA / The Fillmore - DAT(M) (Sennheiser 441s) (fireball)",AUD,FLAC,
"5-27-1998 / San Francisco, CA / Ameoba Records In-store (unk)",AUD,FLAC,
"5-28-1998 / Los Angeles, CA / Veterans Wadsworth Theater (Nugs.net)",SBD,FLAC,Official Bootleg
"5-29-1998 / Los Angeles, CA / Veterans Wadsworth Theater - DAT(M) (gary davis mix) ",SBD,FLAC,
"6-14-1998 / Washington, DC / RFK Stadium - Tibetan Freedom Concert",AUD,FLAC,
"6-20-1998 / St. Goarshausn, Germany / Loreley Festival (TV) (sonictrasher author) ",TV,DVD,
"6-21-1998 / Scheesel, Germany / Eichenring Stadium - Hurricane Festival (buenaventura)",AUD,FLAC,
"6-26-1998 / Roskilde, Denmark / Roskilde Festival - Hi8(M) (travisbickle1963 transfer)",AUD,MKV,
"6-28-1998 / Glastonbury, UK / Glastonbury Festival - ANA(x) ",AUD,FLAC,
"7-1-1998 / London, UK / Royal Festival Hall - ANA(1) (Sony WM-D3) ",AUD,FLAC,
"7-2-1998 / Nancy, France / Amphitheatre du Zenith (unk)",AUD,FLAC,
"7-16-1998 / Athens, Greece / Rockwave Festival (Nakamichi DR-1) (unk) (rob landis transfer)",AUD,FLAC,
"7-18-1998 / Dublin, Ireland / Olympia (unk)",AUD,FLAC,
"8-1-1998 / Naeba, Japan / Naeba Ski Resort - Fuji Rock Festival - VID(1) (PRO) (trvisbckle63 transfer)",TV,FLAC,
"8-10-1998 / Stockholm, Sweden / Waterfestival - Riddarholms Stage - VID(x) ",TV,MKV,
"10-13-1998 / Tokyo, Japan / Akasaka Blitz - DAT(M) (unk)",AUD,FLAC,
,,,
[1999],,,
"2-1-1999 / Strasbourg, France / La Laiterie - ANA(M) (Sony Walkman) (unk)",AUD,FLAC,
"2-7-1999 / Brussels, Belgium / Ancienne Belgiuque - DAT(M) (CM-T7) (trvisbckle63 transfer)",AUD,FLAC,
"2-9-1999 / Fribourg, Switzerland / Fri-Son - MD(x) (inc)",AUD,FLAC,
"2-12-1999 / Athens, Greece / Club Rodon (Nakamichi DR-1) (unk) (rob landis transfer) ",AUD,FLAC,
"2-19-1999 / Lisbon, Portugal / Aula Magna - DAT(M) (CSC)",AUD,FLAC,
"2-21-1999 / Grenada, Spain / Palacio de Congressos - ANA(2) (loughney transfer)",AUD,FLAC,
"2-27-1999 / New York, NY / Hammerstein Ballroom (Schoeps MK4) (peter & boris)",AUD,FLAC,
"7-2-1999 / Berkeley, CA / Greek Theatre (Schoeps CC4) (unk)",AUD,FLAC,
"6-13-1999 / New York, NY / South Street Seaport Atrium (Neumann TLM-170) (unk) ",AUD,FLAC,
"7-8-1999 / Austin, TX / Liberty Lunch - DAT(M)",AUD,FLAC,
"8-26-1999 / New York, NY / Knitting Factory - ANA(M) (unk)",AUD,FLAC,
"9-5-1999 / Seattle, WA / Bumbershoot Festival ",AUD,FLAC,
"11-12-1999 / Brooklyn, NY / St Ann's Church (unk)",AUD,FLAC,
,,,
[2000],,,
"6-15-2000 / Boston, MA / Avalon - MD(M) (unk)",AUD,FLAC,
"6-19-2000 / Washington, DC / 930 Club (AT 815s) (c dipietro) ",AUD,FLAC,
"6-20-2000 / Washington, DC / 930 Club (SS-DSM6S) (unk)",AUD,FLAC,
"6-23-2000 / Atlanta, GA / The Tabernacle (AKG 414)",AUD,FLAC,
"7-10-2000 / Paris, France / Elysee Montmartre - DAT(M) (OKM-II) (unk)",AUD,FLAC,
"7-12-2000 / Montreux, CH / Miles Davis Hall (HD Broadcast)",SBD,FLAC,
"7-22-2000 / San Francisco, CA / The Warfield (michael zelner)",AUD,FLAC,
"7-22-2000 / San Francisco, CA / The Warfield - DAT(M) (CSBmod) (unk)",AUD,FLAC,
"7-24-2000 / Los Angeles, CA / Wilshire Theatre - Hi8(M) (unk)",AUD,FLAC,
"7-29-2000 / Tokyo, Japan / Naeba Ski Resort ",TV,FLAC,
"8-10-2000 / West Palm Beach, FL / Mars Music Amphitheatre - ANA(M) (unk) ",AUD,FLAC,
"8-11-2000 / Orlando, FL / Sapphire Supper Club - ANA(M) (unk) ",AUD,FLAC,
"8-11-2000 / Orlando, FL / Sapphire Supper Club - VHS(x) (unk) ",AMT #1,MKV,
