"6-6-2009 / Holmdel, NJ / PNC Bank Arts Center (ninslave)",AUD,FLAC,
"6-10-2009 / Burgettstown, PA / Post-Gazzette Pavilion (nikres)",AUD,FLAC,
"6-12-2009 / Charlotte, NC / Verizon Wireless Amphitheatre (univonc)",AUD,FLAC,
"7-12-2009 / Kildaire, Ireland / Punchestown Racecourse - Oxygen Festival (MR2 Petofi)",FM,FLAC,
"7-14-2009 / Manchester, UK / Manchester Evening News",AUD,FLAC,
"8-9-2009 / Chicago, IL / Grant Park (Lollapalooza) (Edirol R-09)",AUD,FLAC,
,,,
[2010],,,
"2-20-2010 / Brisbane, Australia / RNA Showgrounds - Soundwave Festival (javier)",AUD,FLAC,
"2-24-2010 / Melbourne, Australia / The Palace Theatre (javier)",AUD,FLAC,
"5-5-2010 / Hollywood, CA / Bardot (handsome mike)",AUD,FLAC,
"7-2-2010 / Hollywood, CA / The Roxy (Edirol RH-09)",AUD,FLAC,
,,,
[2011],,,
"3-31-2011 / Buenos Aires, Argentina / Anfiteatro Lola Mora (charlimust94)",FM,FLAC,
"4-3-2011 / Santiago, Chile / Parque O' Higgings (Lollapalooza) (CA-11) (realkuka)",AUD,FLAC,
"4-3-2011 / Santiago, Chile / Parque O'Higgins (MM-MCSM-4) (rony kohn)",AUD,FLAC,
"7-16-2011 / Ottawa, Canada / MBNA Stage (H2 Zoom) (bootlegottawa)",AUD,FLAC,
"7-23-2011 / Bridgeport, CT / Seaside Park (chuck doll)",FM,FLAC,
"7-23-2011 / Bridgeport, CT / Seaside Park (Neumann KM184s) (rob clarke)",AUD,FLAC,
"9-24-2011 / Chicago, IL / Metro (Schoeps MK41s) (darktrain)",AUD,FLAC,
"10-4-2011 / Los Angeles, CA / John Anson Ford Theatre (DPA 4061s) (blg)",AUD,FLAC,
"12-11-2011 / Universal City, CA / Gibson Amphitheatre - KROQ Almost Acoustic Christmas",WEB,FLAC,
,,,
[2012],,,
"2-29-2012 / Rochester, NY / Auditorium Theatre (beatkilla)",AUD,FLAC,
"3-24-2012 / Milwaukee, WI / Eagles Ballroom (john bottorff)",AUD,FLAC,
"4-8-2012 / Sao Pablo, Brazil / Jockey Club - Lollapalooza (king_ganesha)",SBD,FLAC,
"5-4-2012 / Birmingham, AL / Birmingham-Jefferson Convention Complex Sheraton (Tascam DR-2d) (steve hagar) ",AUD,FLAC,
"5-5-2012 / Memphis, TN / Beale Street Music Festival (teddyboy)",AUD,FLAC,
"5-18-2012 / Miami Beach, FL / The Fillmore (SP-CMC-8)",AUD,FLAC,
"8-20-2012 / Lewiston, NY / Artpark (guy incognito)",AUD,FLAC,
,,,
[2013],,,
"10-30-2013 / Los Angeles, CA / Jimmy Kimmel Live (DSM 6)",AUD,FLAC,
,,,
[2015],,,
"5-16-2015 / Philadelphia, PA / Electric Factory (Schoeps MK4) (mw)",AUD,FLAC,
"7-24-2015 / Fairbanks, AK / The Blue Loon (steve hagar)",AUD,FLAC,
,,,
[2016],,,
"6-11-2016 / Paris, France / Download Festival (moka17)",AUD,FLAC,
"7-19-2016 / Boston, MA / Blue Hills Pavilion (SP-CMC-8C) (farve4 master)",AUD,FLAC,
"7-30-2016 / Chicago, IL / Grant Park - Lollapalooza (king_ganesha)",SBD,FLAC,
"7-30-2016 / Chicago, IL / Grant Park - Lollapalooza (720p) ",Webcast,TS,
,,,
[2017],,,
"9-16-2017 / Del Mar, CA / Kaaboo Festival (ffffffe)",Webcast,TS,
"9-16-2017 / Del Mar, CA / Kaaboo Festival (king_ganesha)",SBD,FLAC,
"12-8-2017 / Hollywood, CA / Palladium (AT831) (unk)",AUD,FLAC,
"12-31-2017 / Aspen, CO / Belly Up (SiriusXM) (filthpurveyor)",FM,FLAC,
,,,
[2021],,,
