Tom Petty & the Heartbreakers,Versions,,,,File Type,
"11-9-2002 / Tacoma, WA / Tacome Dome (unk)",AUD,,,,FLAC,
"11-16-2002 / Dallas, TX / American Airlines Center (Sony Digital 8) (john saunders)",AUD,,,,MP4,
"11-21-2002 / Austin, TX / Frank Erwin Center (SS) (unk)",AUD,,,,FLAC,
"12-7-2002 / Auburn Hills, MI / Palace of Auburn Hills (AT943s) (willyp523)",AUD,,,,FLAC,
"12-11-2002 / Chicago, IL / United Center (unk) (biccio59 cdr)",AUD,,,,FLAC,
,,,,,,
[2003],,,,,,
"4-14-2003 / Chicago, IL / Vic Theatre (unk)",AUD,,,,FLAC,
"4-16-2003 / Chicago, IL /- Vic Theatre (unk)",AUD,,,,FLAC,
"4-17-2003 / Chicago, IL /- Vic Theatre (unk)",AUD,,,,FLAC,
"4-19-2003 / Chicago, IL / Vic Theater - 93 XRT Radio *Maybe We'll Just Move Here",FM,,,,FLAC,
"6-28-2003 / Milwaukee, WI / Marcus Amphitheatre - DAT(M) (Oktava MK012s) (dk-wi)",AUD,,,,FLAC,
"7-11-2003 / Mankato, MN / Midwest Wireless Civic Center - DAT(M) (Coresound High-end Cardioids) (alzeppelin)",AUD,,,,FLAC,
"7-11-2003 / Mankato, MN / Midwest Wireless Arena (Sony ECM-DS70P) (unk) ",AUD,,,,FLAC,
"8-9-2003 / Holmdel, NJ / PNC Arts Center (AT853s) (soomlos)",AUD,,,,FLAC,
"8-10-2003 / Holmdel, NJ / PNC Arts Center (AT853s) (soomlos)",AUD,,,,FLAC,
"8-21-2003 / Daytona Beach, FL / Ocean Center (SP-CMC-4) (unk)",AUD,,,,FLAC,
,,,,,,
[2005],,,,,,
"6-7-2005 / Estero, FL / Germain Arena - DAT(M) (Sony D100) (datfly)",AUD,,,,FLAC,
"6-10-2005 / Tampa, FL / Ford Amphitheatre (SP-CMC-4) (tom potter) ",AUD,,,,FLAC,
"6-17-2005 / Camden, NJ / Tweeter Center (Schoeps MK41s) (unk)",AUD,,,,FLAC,
"6-22-2005 / Holmdel, NJ / PNC Arts Center (DPA mics) (unk)",AUD,,,,FLAC,
"6-28-2005 / Grand Rapids, MI / Van Andel Arena (AT831s) (unk)",AUD,,,,MP3,
