Rage Against the Machine,Versions,File Type,
Drive - F,,,
,,,
"10-10-1996 / Chandler, AZ / Compton Terrace (CSBs) (milazzo)",AUD,FLAC,
"10-10-1996 / Chandler, AZ / Compton Terrace - VHS(x) (unk)",AUD,DVD,
,,,
[1997],,,
"1-20-1997 / Santa Monica, CA / Sony Studios *Radio Free LA",SBD #1,FLAC,
"1-20-1997 / Santa Monica, CA / Sony Studios *Radio Free LA",SBD #2,FLAC,
"1-20-1997 / Santa Monica, CA / Sony Studios *Radio Free LA (KROQ 106.7 FM)",SBD #3,FLAC,
"4-25-1997 / Las Vegas, NV / Sam Boyd Stadium (Sony ECM-717)",AUD,FLAC,
"4-28-1997 / San Diego, CA / Jack Murphy Stadium (MarcSounds)",AUD,FLAC,
"5-9-1997 / Tempe, AZ / Sun Devil Stadium (unk)",AUD,FLAC,
"5-12-1997 / Dallas, TX / Cotton Bowl (AKG CK460) (kyle holbrook, eric britt, billy myrick) ",AUD,FLAC,
"5-16-1997 / Clemson, SC / Death Valley Stadium (unk)",AUD,FLAC,
"6-12-1997 / Hultsfred, Sweden / Hultsfreds Hembygdspark - ANA(M)",SBD,FLAC,
"6-21-1997 / Los Angeles, CA / Los Angeles Memorial Coliseum (DAT clone)",AUD,FLAC,
"7-1-1997 / Vienna, Austria / Sundance Festival - DAT(M) (tapeworm48)",FM,FLAC,
"7-24-1997 / Osaka, Japan / IMP Hall (SS-DSM6S) (unk) ",AUD,FLAC,
"7-25-1997 / Tokyo, Japan / Akasaka Blitz (MD) (tapeworm48)",AUD,FLAC,
"7-26-1997 / Yamanashi, Japan / Fuji Rock Festival *Hot Against the Eye of Summer Tyfoon",SBD,FLAC,
"7-26-1997 / Nigata, Japan / Naeba Ski Resort - Fuji Rock Festival",PRO,DVD,
"8-12-1997 / Antioch, TN / Starwood Amphitheater (CSB) (scott b.)",AUD,FLAC,
"8-13-1997 / Charlotte, NC / Blockbuster Pavilion - DAT(1) (Sony ECM) (cm) ",AUD,FLAC,
"8-15-1997 / Columbia, MD / Merriweather Post Pavilion *Evil Machine (Genocide-002)",Silver CD,FLAC,
"8-16-1997 / Camden, NJ / Blockbuster Pavilion (CSB)",AUD,FLAC,
"8-17-1997 / Hartford, CT / Meadows Music Theatre (Radio Shack 33-3003) (mike ganezer)",AUD,FLAC,
"8-20-1997 / East Rutherford, NJ / Continental Airlines Arena - DAT(M) (CSB) (tapeworm48)",AUD,FLAC,
"9-8-1997 / Denver, CO / Fiddler's Green",AUD,FLAC,
"9-15-1997 / Mountain View, CA / Shoreline Amphitheater (CSB) (don master)",AUD,FLAC,
"9-21-1997 / Mesa, AZ / Mesa Amphitheatre - DAT(M) (CSB) (tapeworm48)",AUD #1,FLAC,
"9-21-1997 / Mesa, AZ / Mesa Amphitheatre (CSB)",AUD #2,FLAC,
,,,
[1999],,,
"1-28-1999 / East Rutherford, NJ / Continental Airlines Arena (MarcSounds) (tapeworm48)",AUD,FLAC,
"6-11-1999 / Wantagh, NY / Jones Beach Amphitheatre (CSB) (at)",AUD,FLAC,
"6-13-1999 / East Troy, WI / Alpine Valley - DAT(M) (SM98) (ko)",AUD,FLAC,
"6-13-1999 / East Troy, WI / Alpine Valley - Tibeten Freedom Concert (Shure SM98) - DAT(1)",AUD,FLAC,
"7-24-1999 / Rome, NY / Griffiss Air Force Base (Woodstock)",Silver CD,FLAC,
