Wilco,Versions,,,,File Type,,
Drive - E,,,,,,,
,,,,,,,
,,,,,,,
"6-29-2003 / Montreal, Quebec / Metropolis",AUD,,,,FLAC,,
6-30-2003 / Washington D.C. / Constitution Hall - DAT(M) (B&K 4022) (craig davis) ,AUD,,,,FLAC,,
"7-2-2003 / Detroit, MI / Fisher Building Parking Lot - Tastefest",AUD,,,,FLAC,,
"7-2-2003 / Detroit, MI / Fisher Building Parking Lot - Tastefest",AUD,,,,FLAC,,
"7-3-2003 / Milwaukee, WI / Summerfest",AUD,,,,FLAC,,
"8-29-2003 / Vancouver, BC / Thunderbird Stadium",AUD,,,,FLAC,,
"9-3-2003 / Ridgefield, WA / Amphitheatre in Clark County",SBD,,,,FLAC,,
"9-4-2003 / Eugene, OR / McDonald Theatre",SBD,,,,FLAC,,
"9-4-2003 / Eugene, OR / McDonald Theatre (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"9-6-2003 / Mountain View, CA / Shoreline Amphitheatre - KFOG Summer Picnic (Schoeps MK4) (unk) ",AUD,,,,FLAC,,
"9-11-2003 / Las Vegas, NV / Thomas & Mack Center",AUD,,,,FLAC,,
"9-13-2003 / Morrison, CO / Red Rocks Amphitheatre",SBD,,,,FLAC,,
"9-13-2003 / Morrison, CO / Red Rocks Amphitheatre (Schoeps MK4) (ken mininger)",AUD,,,,FLAC,,
"9-13-2003 / Morrison, CO / Red Rocks Amphitheatre (Sony ECM12s) (luke)",AUD,,,,FLAC,,
"9-14-2003 / Morrison, CO / Red Rocks Amphitheatre (Sony ECM12s) (luke) ",AUD,,,,FLAC,,
"9-14-2003 / Morrison, CO / Red Rocks Amphitheatre",SBD,,,,FLAC,,
"9-17-2003 / Des Moines, IA / Val Air Ballroom",AUD,,,,FLAC,,
"9-19-2003 / Chicago, IL / Auditorium Theatre (Earthworks SR 77s) (jerrry eagleberger & david sadowski) ",AUD,,,,FLAC,,
"9-19-2003 / Chicago, IL / Auditorium Theatre",MTX,,,,FLAC,,
"9-20-2003 / Chicago, IL / Auditorium Theatre (Earthworks SR77s) (jerry eagleberger & david sadowski)",AUD,,,,FLAC,,
"9-20-2003 / Chicago, IL / Auditorium Theatre",AUD,,,,FLAC,,
"10-25-2003 / Mountain View, CA / Shoreline Amphitheater",AUD,,,,FLAC,,
"10-26-2003 / Mountain View, CA / Shoreline Amphitheater",AUD,,,,FLAC,,
,,,,,,,
[2004],,,,,,,
