Toad the Wet Sprocket,Versions,File Type
"12-4-1997 / Durham, NC / Duke University - Page Auditorium (CSB) (acidjack)",AUD,FLAC
"12-10-1997 / Nashville, TN / The Woodshed - ANA(x) (unk) ",FM,FLAC
"12-13-1997 / Vail, CO / Unknown Venue (Magnavox Stereo Boombox) (unk) ",AUD,FLAC
"12-31-1997 / Chicago, IL / House Of Blues (Magnavox Stereo Boombox) (unk)",AUD,FLAC
,,
[1999],,
"11-4-1999 / Los Angeles, CA / KACD 103.3 FM Toad Cast (unk)",FM,FLAC
"11-4-1999 / San Francisco, CA / KFOG-FM - ANA(x) (unk)CA / KACD 103.3 FM Toad Cast (unk)",FM,FLAC
"11-4-1999 / St. Louis, MO / WVRV-FM - ANA(x) (unk)",FM,FLAC
,,
[2002],,
"12-4-2002 / Santa Barbara, CA / Arlington Theater (Royer SF-12) (chris berryman)",AUD,FLAC
"12-10-2002 / Universal City, CA / Universal Amphitheatre - DAT(M) (DPA 4061s) (jeff lester)",AUD,SHN
"12-11-2002 / Los Angeles, CA / Wiltern Theater - DAT(M) (AKG CK61) (jeff lester)",AUD,SHN
"12-13-2002a / Los Angeles, CA / KLOS FM 95.5 - Mark and Brian Christmas Show",FM,SHN
"12-13-2002 / San Diego, CA / Cox Arena - SDSU (SP-CSP-S) (tony peth)",AUD,SHN
"12-16-2002 / San Francisco, CA / The Warfield (Neumann KM184s) (joe polastre)",AUD,SHN
"12-17-2002 / San Francisco, CA / The Warfield (Neumann KM184s) (joe polastre)",AUD,SHN
"12-20-2002 / San Francisco, CA / The Warfield (Neumann KM184s) (joe polastre)",AUD,SHN
"12-21-2002 / San Francisco, CA / The Warfield (Neumann KM184s) (joe polastre)",AUD,SHN
"12-22-2002 / San Francisco, CA / The Warfield (Neumann KM184s) (joe polastre)",AUD,SHN
"12-31-2002 / Hollywood, CA / The Roxy Theater (Sony ECM-MS907) (matt johnson)",AUD,SHN
,,
[2003],,
"2-4-2003 / Anaheim, CA / The Grove of Anaheim - DAT(M) (DPA 4061s) (jeff lester)",AUD,SHN
"2-5-2003 / West Hollywood, CA / House of Blues - DAT(M) (DPA 4061s) (jeff lester)",AUD,SHN
"2-6-2003 / San Francisco, CA / The Fillmore (Neumann KM184s) (joe polastre)",AUD,SHN
"2-8-2003 / Las Vegas, NV / House of Blues (Shure BG4.1) (matt johnson)",AUD,SHN
"2-10-2003 / Salt Lake City, UT / Bricks (C1000s) (mike d)",AUD,SHN
"2-11-2003a / Boulder, CO / KBCO Studio C (lance stack)",FM,SHN
"2-11-2003 / Boulder, CO / The Fox Theatre (Neumann KM184s) (lance stack)",AUD,SHN
"2-16-2003 / St. Louis, MO / Mississippi Nights (CSC) (shane calhoon)",AUD,SHN
"2-19-2003 / Columbus, OH / PromoWest Pavilion (Oktava MC012) (kevin main)",AUD,SHN
"2-21-2003 / Detroit, MI / St. Andrew's Hall (CSC) (unk)",AUD,SHN
"2-22-2003 / Cincinnati, OH / Bogart's (Oktava MC012) (n culbreth)",AUD,SHN
"2-22-2003 / Cincinnati, OH / Bogart's (CSC) (unk)",AUD,SHN
"2-23-2003 / Indianapolis, IN / Vogue Theatre (CSC) (shane calhoon)",AUD,SHN
"2-25-2003 / Cleveland, OH / The Odeon (MM-BSCM-1) (eric strickland)",AUD,SHN
"2-28-2003 / New York, NY / Irving Plaza (CAD E-100) (chris berryman)",AUD,SHN
"2-28-2003 / New York, NY / Irving Plaza (M210s) (jon pasternak)",AUD,SHN
"3-1-2003 / Boston, MA / Avalon (CAD E-100) (chris berryman)",AUD,SHN
"3-2-2003 / Philadelphia, PA / Theatre of the Living Arts (TLA) (SR-71s) (ashley davenport)",AUD,SHN
"3-3-2003 / New York, NY / Irving Plaza (DPA 4022s) (scott brown)",AUD,SHN
"3-3-2003 / New York, NY / Irving Plaza (M210s) (jon pasternak)",AUD,FLAC
"3-4-2003 / Old Bridge, NJ / Birch Hill Concert Hall (SS-DSM-6) (ali anthony)",AUD,SHN
"3-5-2003 / Washington, D.C. / 9:30 Club (Neumann KM184s) (justin carlson)",AUD,SHN
"3-8-2003 / Myrtle Beach, SC / House of Blues (AKG 391s) (nick gregory)",AUD,SHN
"3-9-2003 / Norfolk, VA / The Norva (MXL1006BP) (chris berryman)",AUD,SHN
,,
[2006],,
"6-4-2006 / Sayreville, NJ / Starland Ballroom (Gefell M210s) (jon pasternak)",AUD,FLAC
"6-18-2006 / Chicago, IL / Taste of Randolph Street (Sony ECM-MS957) (christopher bejcek)",AUD,FLAC
"7-7-2006 / Portsmouth, VA / N'Telos Pavilion (unk)",AUD,FLAC
"7-10-2006 / New York, NY / Irving Plaza (DPA 4022s) (scott brown)",AUD,SHN
"7-18-2006 / Cleveland, OH / Tower City Amphitheatre (AKG CK93/SE300B) (shane mcgraw)",AUD,FLAC
"7-21-2006 / St. Louis, MO / Live on the Levee - Gateway Arch (SP C4s) (shane e calhoon)",AUD,SHN
"8-11-2006 / Veneta, OR / Secret House Vineyard (unk) (stoodo transfer)",AUD,FLAC
"8-14-2006 / Seattle, WA / Moore Theatre (DPA 4061s) (ryan olsen)",AUD,FLAC
,,
[2008],,
"1-20-2008 / Miami, FL / Carnival Imagination (Crown PZM) (chandler coyle)",AUD,FLAC
"1-22-2008 / Miami, FL / Carnival Imagination (Crown PZM) (chandler coyle)",AUD,FLAC
"6-12-2008 / Sayreville, NJ / Starland Ballroom (M210s) (jon pasternak)",AUD,FLAC
"6-15-2008 / Norfolk, VA / The Norva (Sennheiser MKH8040s) (john kelly)",AUD,FLAC 24
,,
[2009],,
"2-23-2009 / Annapolis, MD / Rams Head Onstage (Schoeps MK4/CMC4) (su6oxone)",AUD,FLAC
"2-26-2009 / New York, NY / Webster Hall (Gefell M210s) (jon pasternak)",AUD,FLAC
"5-3-2009 / Columbus, OH / The Lifestyle Communities Pavilion (SP-CMC-4U) (greg johnson)",AUD,FLAC 24
"7-1-2009 / New Orleans, LA / House of Blues (Sony ECM-DS70P) (ryan fisher)",AUD,FLAC
"7-28-2009 / St. Louis, MO / The Pageant (Studio Projects C4s) (shane e. calhoon)",AUD,FLAC
,,
[2010],,
"3-11-2010 / Redondo Beach, CA / Brixton South Bay (DPA 4061) (jeff lester)",AUD,FLAC
"5-14-2010 / Richardson, TX / Wildflower Festival - MetroPCS Stage (AT853s) (david sell)",AUD,FLAC
"7-24-2010 / Napa, CA / Uptown Theatre (SP-CMC-4) (unk)",AUD,FLAC
,,
[2011],,
"3-26-2011 / Las Vegas, NV / Red Rocks Lounge - WAV(M) (Edirol R-09) (luke freteluco) ",AUD,FLAC
"4-7-2011 / New York, NY / Irving Plaza (Gefell M210s) (jon pasternak)",AUD,FLAC
"4-15-2011 / Atlanta, GA / Variety Playhouse (Zoom H4n) (radiokid311)",AUD,FLAC
"4-29-2011 / Orlando, FL / House of Blues (Busman BSC1 K3) (dnuggs)",AUD,FLAC
"6-27-2011 / St. Louis, MO / The Pageant (Studio Projs C4) (shane e. calhoon)",AUD,FLAC
"6-28-2011 / Bloomington, IL / The Castle Theatre (DPA 4061s) (unk)",AUD,FLAC
"7-3-2011 / Bellvue, CO / Mishawaka Amphitheatre (Gefell M300s) (lance stack)",AUD,FLAC 24
"7-8-2011 / Bend, OR / Summerfest Street Festival (Sonic Studios) (mike albright)",AUD,FLAC 24
"7-31-2011 / Chicago, IL / Taste of Lincoln Avenue (CA-14s) (brian emerick)",AUD,FLAC 24
"8-1-2011 / Kent, OH / The Kent Stage (AT822s) (spyboychoir)",AUD,FLAC 24
"8-10-2011 / Carrboro, NC / Cat's Cradle (CA-14s) (dale glenn)",AUD,FLAC
,,
[2012],,
"1-5-2012 / New Haven, CT / Toad's Place (DPA 4022) (james bonaiuto)",AUD,FLAC 24
"5-25-2012 / Agoura Hills, CA / The Canyon Club (AT943s) (david sell) ",AUD,FLAC
"5-26-2012 / Denver, CO / Araphapoe Skyline 2 Stage (AKG C 480 B) (chuck miller)",AUD,FLAC
"7-29-2012 / Pittsburgh, PA / Hartwood Acres (Teac ME-80) (tonedeaf)",AUD,FLAC 24
"7-31-2012 / New York, NY / Brooklyn Bowl (Gefell M210s) (jon pasternak)",AUD,FLAC
,,
[2013],,
"5-13-2013 / New Orleans, LA / House of Blues (Sony ECM-DS70P) (ryan fisher)",AUD,FLAC
"8-15-2003 / St. Louis, MO / The Pageant (Studio Projs CS MKII) (shane e. calhoon)",AUD,FLAC
"8-23-2013 / West Hollywood, CA / The Troubadour (MXL1006BP) (jeff lester)",AUD,FLAC
"9-21-2013 / Saratoga Springs, NY / SPAC - Farm Aid (SP-BMC-2) (bert)",AUD,FLAC
"11-2-2013 / Ridgefield, CT / Ridgefield Playhouse (Tascam DR-07) (james bonaiuto)",AUD,FLAC 24
,,
[2014],,
"6-1-2014 / Charleston, WV / Culture Center Theater",FM,FLAC
"6-20-2014 / Robinsonville, MS / Bluesville - Horseshoe Casino - Tunica (Sony ECM-DS70P) (ryan fisher)",AUD,FLAC
"6-21-2014 / New Orleans, LA / House of Blues (Sony ECM-DS70P) (ryan fisher)",AUD,FLAC
"6-30-2014 / New York, NY / Summerstage (Edirol R-09) (jon pasternak)",AUD,FLAC
"7-15-2014 / Columbus, OH / Lifestyle Communities Pavilion (Newmann KM140s) (matt miller)",AUD,FLAC
"7-17-2014 / Rama, Ontario / Casino Rama (Tascam iM2) (greg valiquette)",AUD,FLAC
,,
[2015],,
"7-4-2015 / O'Fallon, MO / Heritage & Freedom Fest (Studio Projs C4) (shane e. calhoon)",AUD,FLAC
"7-26-2015 / Memphis, TN / Minglewood Hall (Sony ECM-DS70P) (ryan fisher)",AUD,FLAC
,,
[2016],,
"7-16-2016 / Denver, CO / Ogden Theatre (AKG CK63-ULS) (chuck miller)",AUD,FLAC
"8-22-2016 / New York, NY / City WInery (Fear 25th Anniversary Show) (DPA 4022) (christopher jones)",AUD,FLAC
