Local H,Versions,File Type
"2-27-2005 / Champaign, IL / The Canopy Club (DPA 4060) (live2cd)",AUD,FLAC
"3-25-2005 / Chicago, IL / The Bottom Lounge (DPA 4061) (tapeworm48)",AUD,FLAC
"4-8-2005 / Lansing, MI / The Temple Club (DPA 4060) (live2cd)",AUD,FLAC
"4-9-2005 / Flint, MI / The Machine Shop (DPA 4060) (live2cd)",AUD,FLAC
"4-10-2005 / Cleveland, OH / Peabody's (DPA 4060) (live2cd)",AUD,FLAC
"4-24-2005 / West Hollywood, CA / Key Club (SP-CMC-2) (chris avis)",AUD,FLAC
"4-28-2005 / Kansas City, MO / The Hurricane (SP-BMC-12) (jeremy hatcher)",AUD,FLAC
"5-27-2005 / Rockford, IL / The Elixur (DPA 4060) (live2cd)",AUD,FLAC
"5-29-2005 / Chicago, IL / The Double Door (DPA 4060) (live2cd)",AUD,FLAC
"6-1-2005 / Atlanta, GA / The Earl (SP-BMC-3) (sydney alamy)",AUD,FLAC
"6-2-2005 / Gainesville, FL / Common Grounds - DAT(M) (Panasonic WM-61A) (kris sproul)",AUD,FLAC
"6-3-2005 / Orlando, FL / The Social - DAT(M) (Panasonic WM-61A) (kris sproul)",AUD,FLAC
"6-4-2005 / St. Petersburg, FL / State Theatre - DAT(M) (Panasonic WM-61A) (kris sproul)",AUD,FLAC
"6-6-2005 / Wilmington, NC / The Soapbox Laundrolounge (Sony ECM-MS907) (nathan b. true)",AUD,FLAC
"6-9-2005 / Washington, D.C. / The Black Cat (DPA 4060) (live2cd)",AUD,FLAC
"6-10-2005 / Baltimore, MD / The Royal (DPA 4060) (live2cd)",AUD,FLAC
"6-11-2005 / Philadelphia, PA / The Khyber (DPA 4060) (live2cd)",AUD,FLAC
"6-12-2005 / Manhattan, NY / The Temptress Cruise Ship (DPA 4060) (live2cd)",AUD,FLAC
"6-13-2005 / Boston, MA / The Paradise Lounge (DPA 4060) (live2cd)",AUD,FLAC
"6-14-2005 / Providence, RI / The Call (DPA 4060) (live2cd)",AUD,FLAC
"6-15-2005 / Brooklyn, NY / Southpaw (DPA 4060) (james bonaiuto / live2cd)",AUD,FLAC
"6-15-2005 / Brooklyn, NY / Southpaw - DAT(M) (Panasonic WM-61A) (kris sproul)",AUD,FLAC
"6-18-2005 / Toledo, OH / The Underground (DPA 4060) (live2cd)",AUD,FLAC
"6-19-2005 / Palatine, IL / Durty Nellie's (DPA 4061) (tapeworm48)",AUD,FLAC
"7-2-2005 / Hobart, IN / Strack & Van Til Plaza (DPA 4060) (live2cd)",AUD,FLAC
"7-3-2005 / Naperville, IL / Brian R. Schultz Rock & Roll Stage - Ribfest (DPA 4060) (live2cd)",AUD,FLAC
"9-27-2005 / Portland, OR / Dante's (AKG 460) (jimbo)",AUD,FLAC
"9-29-2005 / Visalia, CA / Howie and Son's Pizza Parlor (SP-CMC-2) (cavis)",AUD,FLAC
"10-22-2005 / West Chester, PA / Rex's Tavern (Samson c02) (george ewing)",AUD,FLAC
"10-23-2005 / Washington, D.C. / Black Cat - DAT(M) (Beta 98) (cabbage)",AUD,FLAC
"10-25-2005 / Greensboro, NC / Greene Street (Sony ECM-MS907) (nathan b. true)",AUD,FLAC
"11-4-2005 / Cedar Falls, IA / The Reverb (DSM-6S / EL) (unk)",AUD,FLAC
"11-5-2005 / Ames, IA / The Maintenance Shop (DSM-6S / EL) (unk)",AUD,FLAC
"12-31-2005 / Chicago, IL / The Double Door (DPA 4060) (live2cd)",AUD,FLAC
,,
[2006],,
"2-10-2006 / De Kalb, IL / Otto's (CSB) (ryan teske)",AUD,FLAC
"2-11-2006 / Palatine, IL / Durty Nellies (SP-CMC-6) (live2cd)",AUD,FLAC
"4-22-2006 / West Dundee, IL / Clearwater Theater (DPA 4060) (live2cd)",AUD,FLAC
"4-23-2006 / Mokena, IL / The Pearl Room - The Colosseum (DPA 4060) (live2cd)",AUD,FLAC
"6-4-2006 / Chicago, IL / Q101 Studios - DAT(M) (tapeworm48)",FM,FLAC
"6-9-2006 / Chicago, IL / The Metro(DPA 4060) (live2cd)",AUD,FLAC
"8-12-2006 / Lemont, IL / Stage 83 (CSB) (ryan teske)",AUD,FLAC
"10-12-2006 / Milwaukee, WI / Miramar Theater (DPA 4061s) (mbhatia10)",AUD,FLAC
