Weezer,Versions,File Type,
"5-2-2002 / Fargo, ND / Fargodome (unk)",AUD,DVD,
"5-13-2002 / Hollywood, CA / Whisky A Go-Go",AUD,DVD,
"5-18-2002 / Tokyo, Japan / Zepp Tokyo",AUD,MP3,
"5-19-2002 / Fukuoka, Japan / Zepp Fukuoka",AUD,MP3,
"5-20-2002 / Hiroshima, Japan / Club Quattro",AUD,MP3,
"5-22-2002 / Osaka, Japan / Zepp Osaka",AUD,MP3,
"5-23-2002 / Osaka, Japan / Zepp Osaka",AUD,MP3,
"5-25-2002 / Nagoya, Japan / Kosel Nenkin Hall",AUD,MP3,
"5-26-2002 / Tokyo, Japan / Zepp Tokyo",AUD,MP3,
"5-27-2002 / Tokyo, Japan / Nippon Budokan",AUD,MP3,
"7-7-2002 / Morrison, CO / Red Rocks Amphitheatre",AUD,FLAC,
"7-7-2002 / Morrison, CO / Red Rocks Amphitheater (M300s) (tom chaffin)",AUD,FLAC,
"7-9-2002 / St. Paul, MN / Xcel Energy Center (DAC) (p.j. pearson)",AUD,FLAC,
"7-9-2002 / Saint Paul, MN / Xcel Energy Center",AUD,DVD,
"7-9-2002 / St. Paul, MN / Xcel Energy Center (2 Cam Mix)",AUD,DVD,
"7-11-2002 / Tinley Park, IL / Tweeter Center (Oktava MC012) (frank quinto)",AUD,FLAC,
"7-14-2002 / Toronto, Ontario / Molson Amphitheatre",AUD,MP3,
"8-23-2002 / Reading, UK / Richfield Avenue - Reading Festival (evil_bill)",FM,SHN,
,,,
[2005],,,
"4-30-2005 / Indio, CA / Empire Polo Club - Coachella Festival",AUD,MP3,
"4-30-2005 / Indio, CA / Coachella Music & Arts Festival - Empire Polo Grounds - DAT(M) (DPA 6040s)",AUD,FLAC,
"5-6-2005 / Toronto, Ontario / Kool Haus (OM-450) (joe kusnir)",AUD,FLAC,
"5-10-2005 / Philadelphia, PA / The Electric Factory (DPA 4022) (george wang)",AUD,FLAC,
"5-11-2005 / New York, NY / Roseland Ballroom (unk)",AUD,FLAC,
"5-14-2005 / Atlanta, GA / The Tabernacle - MD(x) (unk) (greg harvey)",AUD,FLAC,
"6-3-2005 / Nürburg, Germany / Rock Am Ring",PRO,DVD,
"6-13-2005 / Birmingham, England / Carling Academy",AUD,MP3,
"7-7-2005 / Milwaukee, WI / Marcus Amphitheatre (Giant Squid) (ivory88)",AUD,FLAC,
"7-9-2005 / Toronto, Ontario / Molson Amphitheatre (ECM-MS907) (nippleholic)",AUD,FLAC,
"7-23-2005 / Chicago, IL / Grant Park - Lollapalooza",AUD,FLAC,
"9-8-2005 / Duluth, GA / Gwinnett Arena - MD(x) (unk) (greg harvey) ",AUD,FLAC,
"9-27-2005 / San Diego, CA / Cox Arena (SP-CMC-2) (ozzyzak)",AUD,FLAC,
"9-30-2005 / Denver, CO / Pepsi Arena (inc) - MD(M) (SP-CMC-2) (alex z.) (inc)",AUD,FLAC,
"10-6-2005 / Grand Rapids, MI / Van Andel Arena (AT831s) (aron41)",AUD,FLAC,
"10-8-2005 / Cleveland, OH / Wolstein Center (Soundcheck) (jlizard)",IEM,FLAC,
"10-8-2005 / Cleveland, OH / Wolstein Center (SBD + Gefell M20s) (jlizard/cps)",MIX,FLAC,
"10-11-2005 / Bridgeport, CT / Arena at Harbor Yard (unk) (luke annati)",AUD,FLAC,
"11-1-2005 / Hollywood, CA / Capitol Records - AOL Sessions Studio A",TV,MPG,
"12-22-2005 / Tokyo, Japan / Studio Coast (SP-CMC-8) (bs productions)",AUD,FLAC,
,,,
[2008],,,
"8-18-2008 / Los Angeles, CA / KROQ Radio - Breakfast with Weezer",FM,MP3,
"9-9-2008 / Nagoya, Japan / Aichi-ken Kinrou Kaikan *We Will Rock You! (UB-021)",Silver CD,FLAC,
"9-24-2008 / New York, NY / Madison Square Garden (AKG 480) (davepeck)",AUD,FLAC,
"9-24-2008 / New York, NY / Madison Square Garden ",AUD,DVD,
"9-26-2008 / Atlantic City, NJ / Borgata Casino - MD(M) (CSB) (nikki4982)",AUD,FLAC,
"9-27-2008 / Camden, NJ / Susquehanna Bank Center - MD(M) (CSB) (nikki4982)",AUD,FLAC,
"9-30-2008 / Toronto, Ontario / Air Canada Centre (Sony MZ-N707) (pintosack) ",AUD,FLAC,
"10-5-2008 / Denver, CO / Broomfield Event Center (CA-11) (unk)",AUD,FLAC,
"10-11-2008 / Seattle, WA / Key Arena at Seattle Center - WAV(M) (kris sproul)",AUD,FLAC,
"10-14-2008 / Inglewood, CA / Great Western Forum (Sony D7) (jb)",AUD,FLAC,
"10-25-2008 / Atlanta, GA / Gwinnett Arena (Custom P-zone mics) (jason de'friese)",AUD,FLAC,
"10-25-2008 / Duluth, GA / Gwinnett Arena (unk) (greg harvey) ",AUD,FLAC,
,,,
[2009],,,
"7-26-2009 / Naeba, Japan / Naeba Ski Resort - Fuji Rock Festival",AUD,MP3,
"8-27-2009 / Camden, NJ / Susquehanna Bank Center",SBD,FLAC,Official Bootleg
"8-30-2009 / Columbia, MD / Merriweather Post Pavilion",SBD,FLAC,Official Bootleg
"9-4-2009 / Bonner Springs, KS / Sandstone Amphitheatre",SBD,FLAC,Official Bootleg
"9-6-2009 / Greenwood Village, CO / Fiddler's Green Amphitheatre",SBD,FLAC,Official Bootleg
"9-10-2009 / Auburn, WA / White River Amphitheatre",SBD,FLAC,Official Bootleg
