"6-18-2025 / Berlin, Germany / Olympiastadion (SP-CMC-4U) (chesterchaz)",AUD,FLAC 24
"7-1-2025 / Duesseldorf, Germany / Merkur Spiel-Arena (Schoeps MK22s) (stl)",AUD,FLAC 24
"9-3-2025 / Denver, CO / Ball Arena (DPA 4061) (loudpuppy)",AUD,FLAC
"11-16-2025 / Mexico City, Mexico / Corona Capital (Twitch Stream)",WEB,MP4
,,
[2026],,
"3-3-2026 / Brisbane, AUS / Brisbane Entertainment Centre (DPA 4061) (shadowfax1007) ",AUD,FLAC 24
,,
[MISC],,
zwieR.Z. - A Different Perspective (2011),,FLAC
Rapology -12 (1998),,FLAC
Linkin_Park - Underground v9.0 (WMG Acetate) (2009),,FLAC
Linkin_Park - Plaster (David Kahne Mix) (2000),,FLAC
Linkin_Park - Reanimation (Internal Demo) (2002),,FLAC
Linkin_Park - Demos - 7 Track (2000),,FLAC
Linkin_Park - Demos - 6 Track (2000),,FLAC
Linkin Park - Xero - Demo Tape (1997),,FLAC
Linkin Park - Hybrid Theory - Unmastered (2000),,FLAC
Linkin Park - Hybrid Theory - Demos - 8 Track (1999),,FLAC
Linkin Park - Hybrid Theory - Demos - 2 Track (1999),,FLAC
Linkin Park - Demos - 9 Track (2000),,FLAC
,,
,,
,,
Mike Shinoda,Versions,File Type
Drive - D,,
,,
,,
[2018],,
"8-11-2018 / Incheon, South Korea / Pentaport Rock Festival (blueheaven_t)",AUD,FLAC
"9-1-2018 / Moscow, Russia / Adrenaline Stadium (lushka)",AUD,FLAC 24
"9-7-2018 / Wien, Austria  / Arena Wien Open Air (lpmaskman)",AUD,FLAC 24
,,
,,
,,
Fort Minor,Versions,File Type
Drive - D,,
,,
,,
[2015],,
"8-26-2015 / Copenhagen, Denmark / Pumpehuset (nowfacethetruth)",AUD,FLAC 24
