Foo Fighters,Versions,File Type,
"5-28-1997 / London, UK / Astoria Theatre (Sony ECM-909)",AUD #1,FLAC,
"5-28-1997 / London, UK / BBC Studios - Later with Jools Holland - SBD(M) (loughney transfer)",TV,FLAC,
"5-29-1997 / London, UK / Astoria Theatre (Sony ECM-909)",AUD #1,FLAC,
"5-29-1997 / London, UK / London Astoria - DAT(M) (loughney transfer)",AUD,FLAC,
"5-31-1997a / London, UK / BBC TV Studios - Later with Jools Holland",PRO #1c,FLAC,
"5-31-1997 / Paris, France / L'Arapaho (Marantz EM-8)",AUD #1,FLAC,
"5-31-1997 / Paris, France / L'Arapaho - Mind Games (sbr)",FM,FLAC,
"5-31-1997 / Paris, France / L'Arapaho - Mind Games (sbr)",FM,FLAC,
"6-7-1997 / Randalls Island, NY / Downing Stadium (MD)",AUD,FLAC,
"6-7-1997 / New York, NY / Downing Stadium - DAT(M)",AUD #3,FLAC,
"6-8-1997 / Mansfield, MA / Great Woods Center",AUD,FLAC,
"6-14-1997 / Irvine, CA / KROQ Weenie Roast",AUD,FLAC,
"6-18-1997 / New York, NY / Downing Stadium - Tibetan Freedom Concert (MTV Clip) (loughney transfer)",TV,FLAC,
"6-26-1997 / Yaminashi, Japan / Fuji Rock Festival (alvarojam author)",PRO,DVD,
"7-1-1997 / Forest Hills, NY / Forest Hills Stadium",AUD,FLAC,
"7-1-1997 / Forest Hills, NY / Forest Hills Stadium (CSB)",AUD,FLAC,
"7-4-1997 / Chicago, IL / Riviera Theatre",AUD,FLAC,
"7-4-1997 / Chicago, IL / Riviera Theatre - DAT(M) (CSB) (jlizard)",AUD,FLAC,
"7-4-1997 / Chicago, IL / Riviera Theatre - ANA(M) (Sony WM-D3) (loughney transfer)",AUD,FLAC,
"7-5-1997 / Milwaukee, WI / Summerfest",AUD,FLAC,
"7-5-1997 / Milwaukee, WI / Henry W. Maier Festival Park - DAT(M) (CSB) (loughney transfer)",AUD,FLAC,
"7-5-1997 / Milwaukee, WI / Harley Davidson Stage at Summerfest - DAT(M) (CSB) (pg)",AUD,FLAC,
"7-7-1997 / Toronto, Ontario / The Warehouse ""Westwood One in the Zone - VGRM299)",preFM,FLAC,
"7-7-1997 / Toronto, Ontario / The Warehouse ",AMT  ,DVD,
"7-7-1997 / Toronto, Ontario / The Warehouse - DAT(M) (loughney transfer)",AUD,FLAC,
"7-8-1997 / Toronto, Ontario / Chumcity Building (MuchMusic Intimate & Interactive)",PRO #1b,FLAC,
"7-8-1997 / Toronto, Ontario / Chumcity Building (MuchMusic Intimate & Interactive)",TV,DVD,
"7-9-1997 / Washington, D.C. / 9:30 Club",AUD #1,FLAC,
"7-10-1997 / Philadelphia, PA / Electric Factory (jburneyko)",AUD #1,FLAC,
"7-10-1997 / Philadelphia, PA / Electric Factory (WMD3/CSC)",AUD #2,FLAC,
"7-12-1997 / Cincinnati, OH / The Garage - DAT(M)",AUD #1,FLAC,
"7-12-1997 / Cincinnati, OH / Garage at Caddy's (jlizard)",AUD,FLAC,
