Metallica,Versions,File Type,
"2-7-1987 / Brussels, Belgium / Forest National (haki reumont)",AUD,FLAC,
"2-8-1987 / Zwolle, Holland / IJsselhallen",AUD,FLAC,
"2-11-1987 / Katowice, Poland / Spodek (2nd night)",AUD,FLAC,
"2-13-1987 / Gothenburg, Sweden / Frolundaborg *Fanatic Battery (Meta 2001-2)",Silver CD,FLAC,
"2-13-1987 / Gothenburg, Sweden / Frolundaborg (Live Metallica Vault)",SBD,FLAC,Official Bootleg
"8-20-1987 / London, England / 100 Club (Secret gig played as ""Damage, Inc"") (koondog)",AUD,FLAC,
"8-20-1987 / London, England / 100 Club (Secret gig played as ""Damage, Inc"")",,FLAC,
"8-22-1987 / Donington Park, England / 1987 M.O.R. (Marantz EM-8) (master)",AUD,FLAC,
"8-30-1987 / Pforzheim, Germany / Monster of Rock",FM,FLAC,
,,,
[1988],,,
"5-24-1988 / Los Angeles, CA / Troubadour (Secret gig as ""Frayed Ends"")",SBD,FLAC,
"5-28-1988 / East Troy, WI / Alpine Valley (1st gen)",AUD #1,FLAC,
"5-28-1988 / East Troy, WI / Alpine Valley (Radio Shack PZM)",AUD #2,FLAC,
"6-10-1988 / Washington, D.C. / RFK Stadium",AUD #1,FLAC,
"6-10-1988 / Washington, D.C. / RFK Stadium",AUD #2,FLAC,
"6-12-1988 / Foxboro, MA / Sullivan Stadium (Walkman)",AUD,FLAC,
"6-15-1988 / Pittsburgh, PA / Three Rivers Stadium (Aiwa Portable) (magnetic_media)",AUD,FLAC,
"6-17-1988 / Pontiac, MI / Pontiac Silverdome (Sony D6) (dave_jr)",AUD,FLAC,
"6-19-1988 / Buffalo, NY / Rich Stadium",AUD #1,FLAC,
"6-19-1988 / Buffalo, NY / Rich Stadium (bones420)",AUD #2,FLAC,
"7-6-1988 / Indianapolis, IN / Hoosierdome (Sony D-3 Pro) (the govner)",AUD,FLAC,
"7-16-1988 / San Francisco, CA / Candlestick Park (2nd gen) (thomas biglow)",AUD,DVD,
"7-24-1988 / Los Angeles, CA / Memorial Coliseum",AUD,FLAC,
"9-18-1988 / Madrid, Spain / Casa de Campo",AUD,FLAC,
"9-20-1988 / Toulon, France / Culturel des Lices",AUD,FLAC,
"9-21-1988 / Montpellier, France / Le Zenith",AUD,FLAC,
"9-24-1988 / Edinburgh, Scotland / Playhouse Theatre",AUD,FLAC,
"9-26-1988 / Bradford, UK / St. George's Hall *Damaged British (Langley Deluxe 021)",Silver CD,FLAC,
"9-29-1988 / Birmingham, England / N.E.C.",SBD,FLAC,
"10-1-1988 / Belfast, Ireland / Antrim Forum",CD,FLAC,
"10-9-1988 / London, UK / Hammersmith Odeon",AUD,FLAC,
"10-10-1988 / London, UK / Hammersmith Odeon",AUD,FLAC,
"10-11-1988 / London, UK / Hammersmith Odeon",AUD,FLAC,
"10-13-1988 / Copenhagen, Denmark / K.B. Hallen",AUD,FLAC,
"10-15-1988 / Helsinki, Finland / J??halli (Old Icehall)",AUD,FLAC,
"10-19-1988 / Gothenburg, Sweden / Frolundaborg",AUD,FLAC,
"10-22-1988 / Saarbrucken, Germany / Saarlandhalle",AUD,FLAC,
"10-26-1988 / Cologne, Germany / Sporthalle",SBD,FLAC,
"10-27-1988 / Dortmund, Germany / Westfalenhalle (Aiwa CM-30A) (haki reumont)",AUD,FLAC,
"10-31-1988 / Paris, France / Le Zenith ",AUD,FLAC,
"11-15-1988 / Toledo, OH / Sports Arena (Sony D-3 Pro) (the govner)",AUD,FLAC,
"11-17-1988 / Chicago, IL / Pavilion",AUD,FLAC,
"11-22-1988 / Milwaukee, WI / MECCA Arena (Live Metallica Vault)",SBD,FLAC HD,Official Bootleg
"11-22-1988 / Milwaukee, WI / MECCA Arena",AUD,FLAC,
"11-24-1988 / Indianapolis, IN / Market Square Arena (Sony D-3 Pro) (the govner)",AUD,FLAC,
"11-25-1988 / Detroit, MI / Cobo Arena",AUD,FLAC,
"11-29-1988 / Kansas City, MO / Municipal Auditorium (sousourn1823 transfer)",AUD,FLAC,
"11-30-1988 / Oklahoma, OK / Myriad Convention Center (fex rip)",AUD,FLAC,
"12-5-1988 / San Diego, CA / Sports Arena (Aiwa CM-30)",AUD,FLAC,
"12-7-1988 / Long Beach, CA / Long Beach Arena",AUD,FLAC,
"12-10-1988 / San Francisco, CA / Cow Palace (Sony D3) (karl lundmark)",AUD,FLAC,
"12-12-1988 / Sacramento, CA / Arco Arena (Aiwa CM-30A) (karl lundmark)",AUD,FLAC,
"12-14-1988 / Fresno, CA / Selland Arena (robert)",AUD,FLAC,
,,,
[1989],,,
"1-3-1989 / Oakland, CA / The Omni *Spastik Children (Aiwa CM30a) (karl lundmark)",AUD,FLAC,
"2-1-1989 / San Antonio, TX / Convention Center",AUD,FLAC,
"2-3-1989 / Austin, TX / Frank Erwin Center (RED 2-001)",SBD,FLAC,
"2-3-1989 / Austin, TX / Frank Erwin Center (Live Metallica Vault)",SBD,FLAC,Official Bootleg
"2-5-1989 / Dallas, TX / Reunion Arena",SBD,FLAC,
"2-7-1989 / Little Rock, AR / Barton Coliseum (jeff s. transfer)",AUD,FLAC,
"2-10-1989 / Lakeland, FL / Civic Center",AUD,FLAC,
"2-11-1989 / Daytona Beach, FL / Ocean Center",AUD,FLAC,
"2-12-1989 / Miami, FL / Knight Center (jeff s. transfer)",AUD,FLAC,
"2-15-1989 / West Palm Beach, FL / Auditorium",AUD,FLAC,
"2-17-1989 / Jacksonville, FL / Jacksonville Memorial Coliseum (Toshiba Walkman)",AUD,FLAC,
"2-19-1989 / Greensboro, NC / Greensboro Coliseum (1st gen)",AUD,FLAC,
"2-22-1989 / Los Angeles, CA / Shrine Auditorium *Damaged Justice '88 '89",SBD,FLAC,
"2-26-1989 / Charlotte, NC / Charlotte Coliseum (inc)",AUD,FLAC,
"2-27-1989 / Savannah, GA / Civic Center (jeff s. transfer)",AUD,FLAC,
"3-4-1989 / Pittsburgh, PA / Civic Arena (Sony Walkman WM-F46) (jojogunne)",AUD,FLAC,
"3-8-1989 / Uniondale, NY / Nassau Coliseum (After Hours Records) ",Vinyl,FLAC,
"3-12-1989 / Philadelphia, PA / Spectrum",AUD,FLAC,
"3-13-1989 / Buffalo, NY / Memorial Auditorium",AUD,FLAC,
"3-29-1989 / Providence, RI / Civic Center (Sony WMD6) (tmt)",AUD,FLAC,
"4-1-1989 / Moncton, NB / Moncton Coliseum",AUD,FLAC,
"4-4-1989 / Halifax, Nova Scotia / Halifax Metro Center *Metal Masters (BC-200)",AUD,FLAC,
"4-14-1989 / Battle Creek, MI / Kellogg Arena",AUD,FLAC,
"4-16-1989 / Dayton, OH / Hara Arena (Sony D-3 Pro Walkman) (the govner)",AUD,FLAC,
"5-4-1989 / Melbourne, Australia / Festival Hall",AUD,FLAC,
"5-14-1989 / Tokyo, Japan / Yoyogi Olympic Pool *Fade To Black (LCD 126/2)",Silver CD,FLAC,
"5-17-1989 / Osaka, Japan / Koseinkin Hall *Welcome to the Fun Palace",Silver CD,FLAC,
"5-31-1989 / Vancouver, Canada / PNE Expo Park (2nd gen)",AUD,FLAC,
"6-8-1989 / Duluth, MN / DECC Arena (Sony WMD6) (jf)",AUD,FLAC 24,
"6-10-1989 / Bloomington, MN / Met Center",AUD,FLAC,
"6-25-1989 / Ft. Wayne, IN / Allen County Expo Center (Sony D-3 Pro Walkman) (the govner)",AUD,FLAC,
"6-29-1988 / Noblesville, IN / Deer Creek (Sony D-3 Pro Walkman) (the govner)",AUD,FLAC,
"7-4-1989 / Clarkston, MI / Pine Knob Music Theatre (Sony D-6)",AUD,FLAC,
"7-7-1989 / Hoffman Estates, IL / Poplar Creek Music Theatre",AUD,FLAC,
"7-11-1989 / Pittsburgh, PA / Civic Arena",AUD,FLAC,
"7-16-1989 / Weedsport, NY / Cayuga County Fairgrounds (digital_rich)",AUD,FLAC,
"7-29-1989 / Allentown, PA / Fairgrounds (Schoeps CCM441) (ted mattes)",AUD,FLAC,
"8-7-1989 / Newark, DE / Stone Balloon (Private show)",AUD,FLAC,
"8-22-1989 / Houston, TX / The Summit (1st gen)",AUD,FLAC,
"9-15-1989 / Mountain View, CA / Shoreline Amphitheater (Aiwa CM30a) (karl lundmark)",AUD,FLAC,
"9-16-1989 / Sacramento, CA / Cal Expo Center (Aiwa CM 30a) (karl lundmark)",AUD,FLAC,
"9-21-1989 / Irvine, CA / Irvine Meadows Amphitheatre",AUD,FLAC,
"9-23-1989 / Irvine, CA / Irvine Meadows Amphitheatre (Source 1 - Bubba420)",AUD,FLAC,
"9-23-1989 / Irvine, CA / Irvine Meadows Amphitheatre (Aiwa CM 30a) (karl lundmark)",AUD,FLAC,
"9-23-1989 / Irvine, CA / Irvine Meadows Amphitheatre (Live Metallica Vault)",SBD,FLAC HD,Official Bootleg
"9-23-1989 / Irvine, CA / Irvine Meadows Amphitheatre (gentle_giant)",AUD,DVD,
"10-6-1989 / Sa?o Paulo, BRA / Gina?sio Estadual Geraldo Jose? De Almeida (Source 2) (bubba420) ",AUD,FLAC,
,,,
[1990],,,
"5-17-1990 / Dortmund, Germany / Westfallenhalle (Realistic P2M) (bubba420)",AUD,FLAC,
"5-19-1990 / Hannover, Germany / Messehalle (gh vinyl transfer) ",AUD,FLAC,
"5-20-1990 / Leiden, Holland / Groenoordhallen (Realistic P2M) (stephane)",AUD,FLAC,
"5-21-1990 / Paris, France / Palais Omnisport de Bercy (Sony WMD6) (tommy g)",AUD,FLAC 24,
"5-23-1990 / London, England / Wembley Stadium (koondog)",AUD,FLAC,
"5-25-1990 / Birmingham, England / N.E.C.",AUD,FLAC,
,,,
[1991],,,
"8-2-1991 / Petaluma, CA / Phoenix Theater (karl lundmark)",AUD,FLAC,
"8-17-1991 / Castle Donington, UK / Donington Park",AUD,FLAC,
"8-22-1991 / Budapest, Hungary / Nep Stadium (inc)",AUD,FLAC,
"8-25-1991 / Basel, Switzerland / Fussballstadion St. Jakob (s.d.)",AUD,FLAC,
