Red Hot Chili Peppers,Versions,File Type,
"6-29-1996 / Roskilde, Denmark / Roskilde Festival - Orange Stage - DAT(M) (Sonic Studios) (unk)",AUD,FLAC,
"6-29-1996 / Roskilde, Denmark / Roskilde Festival - VID8(M) (rolling rock videos)",AUD,DVD,
"7-5-1996 / Belfort, France / Peninsula of Lake Malsaucy (Eurock?ennes de Belfort Festival)",AUD #1,FLAC,
"7-6-1996 / Torhout, Belgium / Festival Park - Rock Torhout Festival - DAT(x)",AUD #1,FLAC,
"7-7-1996 / Werchter, Belgium / Rock Werchter (Sony TCS 430) (zuma66 master)",AUD,FLAC,
"7-9-1996 / Paris, France / Palais Omnisport de Paris Bercy (inc)",SBD #1,FLAC,
,,,
[1998],,,
"6-5-1998 / Los Angeles, CA / KBLT Radio Studios",SBD #1,FLAC,
"6-14-1998 / Washington, D.C. / Robert F. Kennedy Memorial Stadium - Tibetan Freedom Concert (AKG 451) (unk)",AUD #1,FLAC,
"6-25-1998 / Los Angeles, CA / Hollywood Moguls - ANA(x) (unk)",AUD #1,FLAC,
"9-4-1998 / Santa Barbara, CA / Santa Barbara Bowl - DAT(x)",AUD #1,FLAC,
"9-5-1998 / Las Vegas, NV / Huntridge Theater",AUD #1,FLAC,
"9-5-1998 / Las Vegas, NV / Huntridge Theater - DAT(M) (ECM-12) (luke freteluco)",AUD  ,FLAC,
"9-6-1998 / Las Vegas, NV / Huntridge Theater",AUD #1,FLAC,
"9-6-1998 / Las Vegas, NV / Huntridge Theater - DAT(M) (ECM-12) (luke freteluco) ",AUD ,FLAC,
"9-18-1998 / Orville, CA / Field of Dreams",AUD #1,FLAC,
,,,
[1999],,,
"5-29-1999 / Baltimore, MD / PSInet Stadium - HFStival",AUD #1,FLAC,
"5-30-1999 / Mansfield, MA / Tweeter Center *WBCN River Rave",SBD #1,FLAC,
5-30-1999 / Mansfield MA / Tweeter Center - WBCN River Rave,FM,FLAC,
"6-2-1999 / Hamburg, Germany / Kulturfabrik Kampnagel *Religion (onkel442003 transfer)",SBD #1,FLAC,
"6-4-1999 / Stockholm, Sweden / Sodra Teatern",SBD #1,FLAC,
"6-11-1999 / London, UK / Camden Place (CSB) (unk)",AUD #1,FLAC,
"6-18-1999 / Mountain View, CA / Shoreline Amphitheatre",AUD #1,FLAC,
"6-25-1999 / Los Angeles, CA / Hollywood Palladium",AUD #1,FLAC,
"7-22-1999 / Toronto, Ontario / Yonge Street - MD(x) (unk)",AUD #1,FLAC,
"7-22-1999 / Toronto, ON / Yonge Street - DAT(M) (Sennheiser MKE-2002) (ms)",AUD  ,FLAC,
"7-25-1999 / Rome, NY / Griffiss Air Force Base - Woodstock '99 - VHS(M) (squareofnone)",SBD,FLAC,
"7-25-1999 / Rome, NY / Griffiss Air Force Base - Woodstock '99 - VHS(M) (unk)",TV,DVD,
"8-10-1999 / Toronto, Canada - Blue Line - VHS(x) (unk)",PRO #1,DVD,
"8-14-1999 / Moscow, Russia / Red Square - MTV Broadcast - ANA(M)",TV,FLAC,
"8-20-1999 / Cologne, GER / Bizarre Festival (Digital Sat) (fradoca)",FM,FLAC,
"8-20-1999 / Cologne, Germany / Bizarre Festival (galexanders)",TV,TS,
"8-25-1999 / Nimes, France / Les Arenes (unk) (plg)",AUD #1,FLAC,
"8-26-1999 / Paris, France / Le Zenith - MD(M) (the dude)",AUD #1,FLAC,
"8-27-1999 / Hasselt, Belgium / Pukkelpop Festival",AUD #1,FLAC,
"8-27-1999 / Hasselt, Belgium / Pukkelpop Festival - VHS(M) (unk)",AMT #1,MKV,
"8-29-1999 / Reading, UK / Reading Festival",SBD,FLAC,
"8-30-1999 / Leeds, UK / Temple Newsam Park - Leeds Festival",AUD #1,FLAC,
