Miles Davis,Versions,File Type
"11-5-1969 / Stockholm, Sweden / Folkets Hus",,SHN
"11-5-1969 / Stockholm, Sweden / Folkets Hus",,SHN
"11-5-1969 / Stockholm, Sweden / Folkets Hus",,SHN
"11-7-1969 / Berlin, Germany / Philharmonie",TV,FLAC
"11-9-1969 / Rotterdam, The Netherlands / De Doelen",FM,SHN
,,
[1970],,
"XX-XX-1970 / Petersburg, NJ / Unknown Venue",AUD,FLAC
"2-21-1970 / Ann Arbor, MI / University Of Michigan - (M) (unk) ",AUD,FLAC
"4-9-1970 / San Francisco, CA / Fillmore West Auditorium",FM,FLAC
"4-10-1970 / San Francisco, CA / Fillmore West Auditorium",FM,SHN
"4-11-1970 / San Francisco, CA / Fillmore West",FM,SHN
"6-20-1970 / New York, NY / Fillmore East",SBD,FLAC
"10-15-1970 / San Francisco, CA / Fillmore West Auditorium - KPFA Radio",FM,FLAC
"10-17-1970 / San Francisco, CA / Fillmore West (inc)",SBD,SHN
"10-18-1970 / San Francisco, CA / Fillmore West",SBD,SHN
"12-16-1970 / Washington, D.C. / Cellar Door Club",SBD,FLAC
"12-17-1970 / Washington, D.C. / Cellar Door Club",SBD,FLAC
"12-18-1970 / Washington, D.C. / Cellar Door Club",SBD,FLAC
"12-19-1970 / Washington, D.C. / Cellar Door Club",SBD,FLAC
,,
[1971],,
"10-23-1971 / Paris, France / Theatre Nationale Polulaire (lmpp237)",AUD,FLAC
"11-3-1971 / Belgrade, Yugoslavia",FM,SHN
"11-5-1971 / Vienna, Austria / Konzerthaus",AUD,SHN
"11-7-1971 / Uppsala, SWE / University Main Hall (M) ",FM,FLAC
,,
[1972],,
"9-14-1972 / Boston, MA / Paul's Mall (WBCN Radio Broadcast)",FM,FLAC
"9-29-1972 / New York, NY / Philharmonic Hall",SBD,SHN
,,
[1973],,
"4-12-1973 / Greensboro, NC / Aycock Auditorium",AUD,FLAC
7-11-1973 / Olympia 1973: En Concert avec Europe,Silver CD,SHN
"10-17-1973 / Boston, MA / Jazz Workshop WBCN Radio",FM,SHN
"11-1-1973 / Berlin, Germany - Philharmonie",PRO,DVD
"11-15-1973 / Paris, France / Palais des Sports - ORTF Radio Broadcast",FM,FLAC
"11-21-1973 / Bordeaux, France / Unknown Venue",AUD,FLAC
"11-21-1973 / Bordeaux, France / Unknown Venue (remaster)",AUD,FLAC
,,
[1974],,
"6-2-1974 / Sao Paulo, Brazil / Teatro Municipal",AUD,FLAC
,,
[1975],,
1-22-1975 / Shinjuku / Kohseinenkin Hall,SBD,SHN
"7-1-1975 / New York, NY / Avery Fisher Hall",SBD,FLAC
,,
[1981],,
"6-26-1981 / Boston, MA / Kix Club",Silver CD,FLAC
"10-11-1981 / Fukuoka, Japan / Sun Palace",FM,FLAC
,,
[1982],,
"7-17-1982a / New York, NY / Pier 84 - Dr. Pepper Music Festival (flambay)",MTX,FLAC
,,
[1983],,
"5-24-1983 / Nagoya, Japan / Nagoyashi Kokaido - AUD(M) (xfer2)",AUD,FLAC
,,
[1984],,
