Tool,Versions,File Type,
Drive - D,,,
,,,
,,,
[1991],,,
"8-8-1997 / Devore, CA / Blockbuster Pavilion (Shure SM-57) (unk)",AUD,FLAC,
"8-8-1997 / Devore, CA / Blockbuster Pavilion (WM-D3) (unk)",AUD,FLAC,
"8-15-1997 / Concord, CA / Concord Pavilion (SS-DSM-6) (steve)",AUD,FLAC,
"8-15-1997 / Concord, CA / Concord Pavilion (SS-DSM-6) (old 2cd version)",AUD,FLAC,
"8-15-1997 / Concord, CA / Concord Pavilion (MarcSounds) (unk)",AUD,FLAC,
"8-16-1997 / Mountain View, CA / Shoreline Amphitheater (MarcSounds) (unk)",AUD,FLAC,
"8-16-1997 / Mountain View, CA / Shoreline Amphitheater (MarcSounds) (hagar remaster)",AUD,FLAC,
,,,
[1998],,,
"3-26-1998 / Hollywood, CA / The Palladium (Sony TCS-580v) (duncan)",AUD,FLAC,
"3-26-1998 / Hollywood, CA / The Palladium  (RadioShack mics) (ron)",AUD,FLAC,
"3-27-1998 / Hollywood, CA / The Palladium (Sony TCS-580v) (duncan)",AUD,FLAC,
"3-28-1998 / Phoenix, AZ / Phoenix Civic Plaza (Sony TCS-580v) (duncan)",AUD,FLAC,
"3-29-1998 / San Diego, CA / The Rimac Theatre - DAT(M) (CSB) (ed davis)",AUD,FLAC,
"3-29-1998 / San Diego, CA / The Rimac Theatre (Sony TCS-580v) (duncan)",AUD,FLAC,
"7-3-1998 / Holmdel, NJ / PNC Banks Arena - ANA(M) (Aiwa CM-30) (beau marsh)",AUD,FLAC,
"7-3-1998 / Holmdel, NJ / PNC Bank Arts Center - DAT(M) (CSB) (unk) ",AUD,FLAC,
"7-5-1998 / Holmdel, NJ / PNC Bank Arts Center (unk vid source)",AUD,FLAC,
"7-5-1998 / Holmdel, NJ / PNC Bank Arts Center (CSB) (unk)",AUD,FLAC,
"7-5-1998 / Holmdel, NJ / PNC Bank Arts Center - ANA(M) (CSB) (tapeworm48 transfer)",AUD,FLAC,
"7-7-1998 / Mansfield, MA / Great Woods Performing Arts Center (Sony CCD-TRV940) (galen mastering)",AUD,FLAC,
"7-8-1998 / Lewiston, MA / Central Maine Civic Center - Hi8(x) (Sony CCD-TRV940) ",AUD,FLAC,
"7-9-1998 / Mansfield, MA / Great Woods Performing Arts Center - Hi8(x) (Sony CCD-TRV940) ",AUD,FLAC,
"7-11-1998 / Camden, NJ / Blockbuster Entertainment Center (CSB) (unk)",AUD,FLAC,
"7-12-1998 / Burgettstown, PA / Star Lake Amphitheatre (CSB) (unk)",AUD,FLAC,
"7-14-1998 / Akron, OH / Rubber Bowl (CSB) (unk)",AUD,FLAC,
"7-15-1998 / Detroit, MI / Wings Stadium",SBD,FLAC,
"7-16-1998 / Noblesville, IN / Deer Creek Music Centre (Aiwa) (unk)",AUD,FLAC,
"7-18-1998 / Somerset, WI / Float Rite Park (unk)",AUD,FLAC,
"7-19-1998 / East Troy, WI / Alpine Valley Music Theatre (Shure Sm-98) (unk)",AUD,FLAC,
"7-19-1998 / East Troy, WI / Alpine Valley Music Theatre (Sony TCS-580v) (unk)",AUD,FLAC,
"7-21-1998 / Columbus, OH / Polaris Amphitheatre (unk)",AUD,FLAC,
"7-22-1998 / Toledo, OH / Sports Arena (unk vid source)",AUD,FLAC,
"7-22-1998 / Toledo, OH / Sports Arena (unk) (shynomi transfer)",AUD,FLAC,
"7-22-1998 / Toledo, OH / Toledo Sports Arena - Ozzfest (unk)",AUD,DVD,
"7-26-1998 / Bonner Springs, KS / Sandstone Amphitheatre (ATR355) (unk)",AUD,FLAC,
"7-30-1998 / West Palm Beach, FL / Coral Sky Amphitheater (unk vid source)",AUD,FLAC,
"8-1-1998 / Raleigh, NC / Walnut Creek Amphitheatre (Ozzfest) - ANA(M) (Realistic Minisette-20) (shynomi)",AUD,FLAC,
"8-1-1998 / Raleigh, NC / Walnut Creek Amphitheatre (Ozzfest) (vincent avery transfer)",AUD,FLAC,
"8-7-1998 / Houston, TX / Astro Arena (unk)",AUD,FLAC,
"8-13-1998 / Morrison, CO / Red Rocks Amphitheatre (MarcSounds) (unk)",AUD,FLAC,
"8-18-1998 / Las Vegas, NV / Thomas & Mack Center (CSB) (unk)",AUD,FLAC,
"8-18-1998 / Las Vegas, NV / Thomas & Mack Center - VHS(1) (2 Sources) (alvarojam)",AMT #1b,DVD,
"8-19-1998 / Reno, NV / Livestock Events Center (CSC) (unk)",AUD,FLAC,
"8-21-1998 / Portland, OR / Memorial Coliseum (CSB (jason arthur)",AUD,FLAC,
"8-23-1998 / Seattle, WA / Mercer Arena (CSB) (unk)",AUD,FLAC,
"8-23-1998 / Seattle, WA / Mercer Arena (unk vid source)",AUD,FLAC,
"8-23-1998 / Seattle, WA / Mercer Arena (Sony ECM-MS907) (rb)",AUD,FLAC,
"8-24-1998 / Medford, OR / Medford Arena (unk) (alan)",AUD,FLAC,
"8-25-1998 / Sacramento, CA / Memorial Auditorium (unk vid source)",AUD,FLAC,
"8-25-1998 / Sacramento, CA / Sacramento Memorial Auditorium (unk) ",AUD,DVD,
"8-26-1998 / Sacramento, CA / Memorial Auditorium (CSB) (unk)",AUD,FLAC,
"8-29-1998 / Santa Barbara, CA / Santa Barbara Bowl (Sony ECM-959A) (unk)",AUD,FLAC,
"8-29-1998 / Santa Barbara, CA / Santa Barbara Bowl (Sony ECM-959A) (unk)",AUD,FLAC,
"8-30-1998 / San Jose, CA / State Events Center (CSC) (unk)",AUD,FLAC,
"8-30-1998 / San Jose, CA / Event Center Arena (unk) ",AUD,DVD,
,,,
[1999],,,
"10-10-1999 / Indio, CA / Empire Polo Club (Coachella) (CSB/120) (catalystx)",AUD,FLAC,
"10-10-1999 / Indio, CA / Empire Polo Club (Coachella) (unk)",AUD,FLAC,
"10-10-1999 / Indio, CA / Empire Polo Club (Coachella) (CSB/120) (distortion transfer)",AUD,FLAC,
