Guster,Versions,File Type
"1-21-2000 / Sacramento, CA / Crest Theater (AKG 480/CK61) (allan chen)",AUD,SHN
"1-22-2000 / Petalume, CA / Mystic Theatre and Dance Hall (AKG 480/CK61) (allan chen)",AUD,SHN
"1-26-2000 / Buffalo, NY / Tralf Cafe (AKG C1000s) (daniel godwin)",AUD,SHN
"1-27-2000 / Philadelphia, PA / WXPN-FM Studios - ANA(1) (mary london)",FM,FLAC 24
"1-28-2000 / Worcester, MA / The Palladium (AKG C1000s) (brandon smith & dave mallick)",AUD,FLAC
"1-29-2000 / Boston, MA / Metcalf Hall - Boston University (mike corcoran & dave mallick)",SBD,FLAC
"2-4-2000a / Hartford, CT / Radio 104 - Dee Snider Radio (jeffry houser)",FM,FLAC
"2-4-2000b / Hartford, CT / Webster Theatre (Shure VP88 + SBD) (dave mallick)",AUD,FLAC
"3-2-2000 / San Francisco, CA / Fillmore (AT853a) (alex coluzzi & allan chen)",AUD,FLAC
"3-4-2000 / Roseville, CA / Big Shots Billiards (AKG C3000s)",AUD,FLAC
"3-9-2000 / Vancouver, BC / Richard's On Richards (AKG C391b) (tyler bradford)",AUD,FLAC
"3-11-2000 / Seattle, WA / Fenix Underground (CM300s) (brian van0rnum)",AUD,SHN
"3-23-2000 / East Lansing, MI / MSU Union Ballroom (Shure VP88 + SBD) (dave mallick)",MIX,FLAC
"3-24-2000 / Granville, OH / Slayter Union - Denison University (Shure VP88 + SBD) (mike corcoran)",MIX,FLAC
"3-26-2000 / Peoria, IL / Bradley University (Shure VP88 + SBD) (allan chen)",MIX,FLAC
"3-28-2000 / St. Louis, MO / Mississippi Nights (Core Sound Omnis) (shane e. calhoon)",AUD,FLAC
"3-31-2000 / Madison, WI / The Barrymore (Shure VP88 + SBD) (unk)",MIX,SHN
"4-8-2000 / Toronto, Ontario / Horseshoe Tavern (DA-P1) (greg valiquette)",AUD,SHN
"4-12-2000 / Chestnut Hill, MA / Boston College - Conte Forum (Shure VP88 + SBD) (mike corcoran)",MIX,FLAC
"4-15-2000 / Worcester, MA / Assumption College - Laska Gym (AKG C1000) (brandon smith)",AUD,FLAC
"4-19-2000 / Portsmouth, NH / The Music Hall (Nakamichi 700/CP1) (eric white)",AUD,FLAC
"4-19-2000 / Portsmouth, NH / The Music Hall (Shure VP88 + SBD) (dave mallick)",MIX,FLAC
"4-21-2000 / Providence, RI / Providence Performing Arts Center (AT853a) (chris mathews)",AUD,FLAC
"4-22-2000 / Philadelphia, PA / Electric Factory - ANA(2) (unk)",AUD,FLAC 24
"4-30-2000 / Richmond, VA / Mayo Islands (Gefell SMS2000/200) (bill lakenan)",AUD,SHN
"5-6-2000 / Atlanta, GA / Music Midtown Festival (unk)",AUD,FLAC
"5-13-2000 / Portland, ME / State Theatre (Shure VP88 + SBD) (mike corcoran)",MIX,FLAC
"5-13-2000 / Portland, ME / State Theatre (AKG C1000) (brandon smith)",AUD,FLAC
"6-23-2000 / Hudson, OH / Hudson High School (Gefell SMS2000/200) (bill lakenan)",AUD,FLAC
"6-24-2000 / Noblesville, IN / Deer Creek Amphitheater (AKG C1000s) (jason woods)",AUD,FLAC
"6-24-2000 / Noblesville, IN / Deer Creek Music Center (Microtech Gefell SMS2000) (bill lakenan)",AUD,FLAC
"7-2-2000 / Andover, MA / Viv's House (AKG C-1000) (brandon smith)",AUD,FLAC
"7-2-2000 / Andover, MA / Viv's House (Gefell SMS2000/200) (bill lakenan)",AUD,FLAC
"7-15-2000 / Clarkston, MI / Pine Knob Music Theater (CSB) (greg valiquette)",AUD,FLAC
"7-16-2000 / Winter Park, CO / KBCO 97.3 Rockfest (mr. twister)",FM,FLAC
"7-16-2000 / Winter Park, CO / KBCO 97.3 Rockfest (liveconcerts.com webcast)",SBD,FLAC
"7-29-2000 / Darien, NY / Darien Lake PAC (unk) ",AUD,FLAC
"8-4-2000 / Boston, MA / Boston Fleet Pavilion (Neumann KM184) (brandon smith)",AUD,FLAC
"8-19-2000 / New York, NY / Central Park Summerstage (Gefell MG200s) (unk)",AUD,FLAC
"9-17-2000 / Ithaca, NY / Arts Quad - Cornell University (Neumann KM184) (joe polastre)",AUD,FLAC
"9-21-2000 / Springfield, OH / Old Gymnasium - Wittenberg University (AT4041) (lee strauss)",AUD,FLAC
"9-29-2000 / Madison, WI / Barrymore Theatre (ryan) (unk)",AUD,FLAC
"10-11-2000 / Mountain View, CA / Shoreline Amphitheatre (AT853a) (unk)",AUD,FLAC
"10-13-2000 / Portland, OR / Rose Garden Theater of the Clouds (SS mics) (brian van0rnum)",AUD,FLAC
"10-14-2000 / Seattle, WA / Key Arena (SS mics) (brian van0rnum)",AUD,FLAC
"11-3-2000 / Notre Dame, IN / Notre Dame University (AKG C1000s) (jason woods)",AUD,FLAC
,,
[2001],,
"2-15-2001 / New York, NY / Madison Square Garden (SP-BMC-1) (unk)",AUD,FLAC
"3-30-2001 / San Francisco, CA / The Fillmore (MC012) (joe navratil)",AUD,FLAC
"4-2-2001 / Portland, OR / Roseland Ballroom (CM300s) (brian van0rnum)",AUD,FLAC
"4-12-2001 / St. Louis, MO / The Pageant Theatre (Core Sound Omnis) (shane e. calhoon)",AUD,FLAC
"4-12-2001 / St. Louis, MO / The Pageant Theatre (Oktava MC012) (joe shambro)",AUD,FLAC
"4-27-2001 / Durham, NH / Whittemore Center Arena (CM700s) (eric white)",AUD,FLAC
,,
[2002],,
"4-13-2002 / Charlottesville, VA / UVA Madison Bowl - Rugby Road (Oktava MC-012) (shaun nicholson)",AUD,FLAC
"4-14-2002 / Scranton, PA / Marywood University (Core Sounds) (jeffry houser)",AUD,FLAC
"4-19-2002 / Oxford, OH / John D. Millett Hall - Miami University (Oktava MC012) (dan glaser)",AUD,FLAC
"4-26-2002 / Poughkeepsie, NY / Marist College - McCann Center (AT853s) (oysterhead)",AUD,FLAC
"4-28-2002 / New Haven, CT / Battell Chapel - Yale University (Aiwa HP-AS288) (unk)",AUD,FLAC
"4-28-2002 / New Haven, CT / Battell Chapel - Yale University (unk) (rory mason)",AUD,FLAC
"5-1-2002 / Boston, MA / Boston University (AKG 391s) (greg lowder)",AUD,FLAC
"5-2-2002 / Waltham, MA / Shapiro Gymnasium - Breandeis University (AT853s) (dave mallick)",AUD,FLAC
"5-5-2002 / Amherst, MA / Mullins Center (CSC) (unk)",AUD,FLAC
"5-9-2002 / Asbury Park, NJ / Paramount Theater (AT853s) (dave mallick)",AUD,FLAC
"5-11-2002 / Asbury Park, NJ / Paramount Theater (AKG 480s) (peter lang)",AUD,FLAC
"5-15-2002 / Providence, RI / Lupo's (AT853s) (viv mallick)",AUD,FLAC
"5-17-2002 / Hanover, NJ / Leede Arena - Dartmouth College (AT853s) (dave mallick)",AUD,FLAC
"7-25-2002 / Pittsburgh, PA / Amphitheatre at Station Square (SR77s) (cameron lister)",AUD,FLAC
"7-26-2002 / Columbus, OH / Promowest Pavilion (AT853s) (viv mallick)",AUD,FLAC
"7-27-2002 / Chicago, IL / A. Finkl & Sons (AT853) (a. nonymous)",AUD,FLAC
"7-29-2002 / Kettering, OH / Fraze Pavilion (AT853s) (a. nonymous)",AUD,FLAC
"8-2-2002 / Kansas City, MO / City Market (Oktava MC012a) (timothy maus)",AUD,FLAC
"8-2-2002 / Kansas City, MO / City Market (SP-CMC-4) (kcmoejoe)",AUD,FLAC
"8-3-2002 / St. Louis, MO / The Fox Theatre (CSC) (shane e. calhoon)",AUD,FLAC
"8-10-2002 / Seattle, WA / Paramount Theatre (unk)",MTX,FLAC
"8-15-2002 / Santa Barbara, CA / Santa Barbara Bowl (unk)",AUD,FLAC
"8-16-2002 / Berkeley, CA / Greek Theatre (Schoeps CCM4s) (some puerto rican guy)",AUD,FLAC
"8-17-2002 / Los Angeles, CA / Greek Theatre (Schoeps CCM4s) (unk)",AUD,FLAC
"8-21-2002 / Mesa, AZ / Mesa Amphitheatre (Schoeps CCM4s) (unk)",AUD,FLAC
"9-3-2002 / Washington, D.C. / DAR Constitution Hall (DPA 4022) (george wang)",AUD,SHN
"9-7-2002 / Cary, NC / Amphitheatre at Regency Park (AT853s) (andrew gresko)",AUD,SHN
"9-13-2002 / New Orleans, LA / Saenger Theatre (SP-BMC-3) (will hennegan)",AUD,SHN
"9-14-2002 / Atlanta, GA / HiFi Buys Amphitheatre (AT853s) (viv mallick)",AUD,SHN
"11-21-2002 / Poughkeepsie, NY / The Chance (SP-CMC-8) (david jeffers)",AUD,SHN
"11-23-2002 / North Andover, MA / Merrimack College (AT853s) (dave mallick)",AUD,SHN
"11-24-2002 / Manchester, NH / Southern New Hampshire University - Athletic Complex (AT853s) (dave mallick)",AUD,SHN
"11-27-2002 / New York, NY / Hammerstein Ballroom (AT853s) (viv mallick)",AUD,SHN
"11-30-2002 / Philadelphia, PA / Electric Factory (AT853s) (dave mallick)",AUD,SHN
"11-30-2002 / Philadelphia, PA / Electric Factory (SR-71) (dave thoma)",AUD,SHN
"12-3-2002 / Washington, D.C. / 9:30 Club (SMS2000) (unk)",AUD,FLAC
"12-5-2002 / Boston, MA / Orpheum Theatre (AT853s) (dave mallick)",AUD,SHN
"12-5-2002 / Boston, MA / Orpheum Theatre (Oktava MC012) (jon daly)",AUD,SHN
"12-6-2002 / Portland, ME / State Theatre (AT853s) (dave mallick)",AUD,SHN
"12-8-2002 / Waltham, MA / Dana Athletic Center - Bentley College (AT853s) (dave mallick)",AUD,SHN
,,
[2003],,
"3-23-2003 / Binghamton, NY / West Gym - Binghampton University (AT803b's) (dave mallick)",AUD,SHN
"3-25-2003 / Cincinnati, OH / Bogart's (AKG CK61) (eric phipps)",AUD,SHN
"3-25-2003 / Cincinnati, OH / Bogart's (Gefell M300) (nate jedinak)",AUD,SHN
"3-27-2003 / Pontiac, MI / Clutch Cargo's (AKG C1000s) (jason woods)",AUD,SHN
"3-29-2003 / Chicago, IL / The Riviera",FM,FLAC
"4-2-2003a / Seattle, WA / Mountain Music Lounge - 103.7FM (abz)",FM,FLAC
"4-2-2003b / Seattle, WA / The Showbox (AT943s) (kevin davis)",AUD,SHN
"4-8-2003 / Tempe, AZ / Nita's Hideaway (AKG 391) (david baty)",AUD,SHN
"4-12-2003 / Lawrence, KS / Liberty Hall (AKG 460/CK61s) (kcmoejoe)",AUD,SHN
"4-13-2003 / St. Louis, MO / The Pageant (CSC) (shane e. calhoon)",AUD,SHN
"4-21-2003 / Winston-Salem, NC / Ziggy's (AKG 480/CK61s) (will foy)",AUD,SHN
"4-25-2003 / Hamden, CT / Burt Kahn Basketball Court - Quinnipiac University (Elation KM201s)  (dave mallick)",AUD,SHN
"4-26-2003 / Smithfield, RI / Multipurpose Athletic Center - Bryant College (Elation KM201s) (dave mallick)",AUD,SHN
"4-27-2003 / Glen Mills, PA / Newlin Grist Mill - Rep Rok 4 (KM201s) (dave mallick)",AUD,SHN
"4-27-2003 / Philadelphia, PA / University of PA - Irvine Auditorium (KM201s) (dave mallick)",AUD,SHN
"4-30-2003 / Newark, DE / University of DE - The Bob Carpenter Center (ADK GC-1) (pat nobles) ",AUD,SHN
"4-30-2003 / Newark, DE / University of DE - The Bob Carpenter Center (SR-71) (ashley davenport) ",AUD,SHN
"5-2-2003 / New Brunswick, NJ / Louis Brown Athletic Center - Rutgers University (KM201s) (rebecca mallick) ",AUD,SHN
"5-3-2003 / Plymouth, NH / Plymouth State College - Recreation Field (KM201s) (dave mallick)",AUD,SHN
"6-19-2003 / Somerville, MA / Q Division Studios - CASS(M) (dave mallick)",FM,SHN
"6-19-2003 / Somerville, MA / WBOS Radio - Q Division Studios",FM,FLAC
"6-20-2003 / Woodstock, NY / Woodstock Playhouse (KM201s) (dave mallick)",AUD,SHN
"6-21-2003 /  Rochester, NY / Water Street Music Hall (KM201s) (dave mallick)",AUD,SHN
"6-24-2003 / Boston, MA / City Hall Plaza - Government Center (AT853) (morgan halton) ",AUD,SHN
"6-24-2003 / Boston, MA  City Hall Plaza - Government Center (KM201) (dave mallick)",AUD,SHN
"6-24-2003 / Boston, MA / City Hall Plaza - Government Center (SR71s) (derek gilbert)",AUD,SHN
"6-24-2003 / Boston, MA / City Hall Plaza - Government Center (SR77s) (cameron lister)",AUD,SHN
"6-25-2003 / Portland, ME / Rooftop of One City Center (KM201s) (dave mallick)",AUD,SHN
"6-26-2003 / New York, NY / Scott and Todd in the Morning - WPLJ Studios (bryan hall)",FM,SHN
"6-26-2003 / Providence, RI / India Point Park (KM201) (rebecca mallick) ",AUD,SHN
"6-26-2003 / Providence, RI / India Point Park (Oktava MC012) (jason adler)",AUD,SHN
"6-27-2003 / Morristown, NJ / Scotti's Record Shop (KM201s) (rebecca mallick)",AUD,SHN
"6-28-2003 / Philadelphia, PA / Tower Records (KM201s) (dave mallick)",AUD,SHN
"6-29-2003 / Pittsburgh, PA / Chevrolet Amphitheatre (AT933s) (john kelly)",AUD,SHN
"6-29-2003 / Pittsburgh, PA / Chevrolet Amphitheatre (KM201) (dave mallick)",AUD,SHN
"6-29-2003 / Pittsburgh, PA / Chevrolet Amphitheatre - Station Square - MD(M) (alex herd)",AUD,SHN
"7-2-2003 / Cleveland, OH / The Odeon (AKG CK61) (eric phipps)",AUD,SHN
"7-2-2003 / Cleveland, OH / The Odeon (AKG CK61) (rhett wegehaupt)",AUD,SHN
"7-10-2003 / Apple Valley, MN / Weesner Amphitheater - MN Zoo (ECM-MS907) (jake foust)",AUD,SHN
"7-10-2003 / Minneapolis, MN / Cities 97 (97.1) ",FM,SHN
"7-10-2003 / Minneapolis, MN / Studio C - KTCZ-FM",WEB,SHN
"7-15-2003 / Boise, ID / Big Easy Concert House (Late show) (Sony ECM-MS907) (andy watts)",AUD,FLAC
"7-15-2003 / Boise, ID / The Record Exchange (ECM-MS907) (andy watts) ",AUD,SHN
"7-16-2003 / Seattle, WA / Easy Street Records (AT831) (ryan olsen)",AUD,FLAC
"7-17-2003 / Portland, OR / Pioneer Square (ECM-MS907) (andy watts)",AUD,SHN
"8-14-2003 / Towson, MD / Recher Theatre (KM201s) (dave mallick)",AUD,SHN
"8-16-2003 / New York, NY / Radio City Music Hall (KM201s) (dave mallick)",AUD,SHN
"8-24-2003 / Los Angeles, CA / Village Studios - Sounds Eclectic with Nic Harcourt (KRCW 89.9)",FM,FLAC
"9-3-2003 / Asheville, NC / Orange Peel (AKG 480) (will foy)",AUD,SHN
"9-11-2003 /- Haverhill, MA / River Music Hall - WXRV-FM",FM,SHN
"9-12-2003 / Boston, MA / FleetBoston Pavilion (KM184) (brandon smith)",AUD,SHN
"9-14-2003 / Beverly, MA / MacDonald Gym - Post Center - Endicott College (KM201s) (dave mallick)",AUD,SHN
"9-20-2003 / Rochester, NY / University of Rochester - The Louis Alexander Palestra (RS33) (sanjay suchak)",AUD,SHN
"9-24-2003 / Albany, NY / Palace Theatre (KM201s) (dave mallick) ",AUD,SHN
"9-26-2003 / Burlington, VT / Flynn Center - MainStage (KM201s) (dave mallick)",AUD,SHN
"9-27-2003 / Philadelphia, PA / Penn's Landing (KM201s) (dave mallick)",AUD,SHN
