R.E.M.,Versions,,,File Type,
"5-10-1985 / Madison, WI / Stock Pavilion",SBD,,,FLAC,
"5-27-1985 / Raleigh, NC / Meredith College",AUD,,,FLAC,
"6-15-1985 / Milan, Italy / Milano de Palatrussardi",FM,,,FLAC,
"6-22-1985 / Milton Keynes, UK / Milton Keynes National Bowl",AUD,,,FLAC,
"6-25-1985 / Edinburgh, Scotland / Venue",AUD,,,FLAC,
"6-26-1985 / Newcastle, England / Tiffany's Ballroom",AUD,,,FLAC,
"6-27-1985 / Coventry, England / Workroom - Rootes Hall - The University of Warwick",AUD,,,FLAC,
"6-27-1985 / Coventry, England / Workroom - Rootes Hall - The University Of Warwick - ANA(M) (unk) (jems transfer)",AUD,,,FLAC,
"7-1-1985 / Munster, Germany / Friebad Hiltrup - Musik Convoy WDR",TV,,,FLAC,
"7-6-1985 / Torhout, Belgium / Achiel Eeckloo Rockweide",AUD,,,FLAC,
"7-7-1985 / Werchter, Belgium / Rock Werchter",FM,,,FLAC,
"7-12-1985 / Seattle, WA / Paramount Theatre",AUD,,,FLAC,
"7-13-1985 / Vancouver, Canada / Commodore Ballroom",AUD,,,FLAC,
"7-20-1985 / Berkeley, CA / Greek Theatre",AUD #1-2,3 sources,,FLAC,
"7-20-1985 / Berkeley, CA / Greek Theater (AKG C-33e) (unk) (slipkid68)",AUD,,,FLAC 24,
"7-23-1985 / Santa Cruz, CA / Civic Auditorium",AUD,,,FLAC,
"7-26-1985 / San Diego, CA / Open Air Theatre - San Diego State University",AUD #1,,,FLAC,
"7-26-1985 / San Diego, CA / Open Air Theatre - San Diego State University",AUD #2,,,FLAC,
"7-26-1985 / San Diego, CA / Open Air Theatre - San Diego State University (jems transfer)",AUD,,,FLAC,
"8-2-1985 / Houston, TX / Cullen Auditorium - ANA(x) (unk)",AUD,,,FLAC,
"8-5-1985 / St. Paul, MN / Civic Center Forum",AUD,,,FLAC,
"8-10-1985 / Detroit, MI / Fox Theatre",AUD #1,,,FLAC,
"8-13-1985 / Pittsburgh, PA / Syria Mosque",AUD,,,FLAC,
"8-15-1985 / Rochester, NY / Auditorium Theater - University of Rochester",AUD,,,FLAC,
8-15-1985 / Rochester NY / Auditorium Theater (Aiwa CM-70) (harwilmer) ,AUD,,,FLAC,
"8-16-1985 / Toronto, Ontario / Toronto Concert Hall",AUD,,,FLAC,
"8-16-1985 / Toronto, Ontario / Toronto Concert Hall (2021 eckythump edition)",SBD,,,FLAC,
"8-17-1985 / Ottawa, Canada / Barrymores",AUD #2,,,FLAC,
"8-17-1985 / Ottawa, Canada / Barrymores",,,,FLAC,
"8-18-1985 / Montreal, Quebec / La Grande Tente au Vieux Port",AUD,,,FLAC,
"8-21-1985 / Boston, MA / Case Athletic Center (Aiwa CM-30) (harwilmer)",AUD,,,FLAC,
"8-23-1985 / Pawtucket, RI / Leroy Theatre",AUD #1,,,FLAC,
"8-24-1985 / Hartford, CT / The Agora",AUD #1,,,FLAC,
"8-24-1985 / Hartford, CT / The Agora (Sony WMD-6C) (harwilmer)",AUD,,,FLAC,
"8-25-1985 / Albany, NY / JB Scott's Theater",AUD #2,,,FLAC,
"8-28-1985 / Philadelphia, PA / Tower Theatre",AUD,,,FLAC,
"8-29-1985 / Washington, D.C. / D.A.R. Constitution Hall",AUD,,,FLAC,
"8-30-1985 / Passiac, NJ / Capitol Theatre",AUD,,,FLAC,
"8-30-1985 / Passaic, NJ / Capitol Theater (Aiwa CM-30) (harwilmer)",AUD,,,FLAC,
"8-31-1985 / New York, NY / Radio City Music Hall",SBD,,,FLAC,
"8-31-1985 / New York, NY / Radio City Music Hall",AUD #1,,,FLAC,
"8-31-1985 / New York, NY / Radio City Music Hall",,,,FLAC,
"10-1-1985 / Amsterdam, Holland / Paradiso",FM,2 sources,,FLAC,
"10-2-1985 / Bochum, Germany / Die Zeche",TV,,,FLAC,
"10-2-1985 / Bochum, Germany / Die Zeche",AUD,,,FLAC,
"10-3-1985 / Rotterdam, The Netherlands / Arena",AUD,,,FLAC,
"10-6-1985 / Frankfurt, Germany / Batschkapp",AUD #1,,,FLAC,
"10-6-1985 / Frankfurt, Germany - Batschkapp (unk) (harwilmer)",AUD,,,FLAC,
"10-7-1985 / Munich, Germany / Alabamahalle",AUD #1,,,FLAC,
"10-11-1985 / Cologne, Germany / Luxor",AUD,,,FLAC,
"10-13-1985 / Saarbrucken, West Germany / Aula - Saarland University",AUD,,,FLAC,
"10-13-1985 / Saarbruecken, W. Germany / Aula der Universitat - ANA(M) (Sony TCS-430) (hanwaker transfer) ",AUD,,,FLAC 24,
"10-15-1985 / Lyon, France / Salle Molire",AUD,,,FLAC,
"10-18-1985 / Mannheim, Germany / Alte Feuerwache",AUD #1,3 sources,,FLAC,
"10-20-1985 / Manchester, UK / Ritz Ballroom",AUD,,,FLAC,
"10-21-1985 / Nottingham, UK / Rock City",AUD,,,FLAC,
"10-23-1985 / Glasgow, Scotland / Barrowlands",AUD,,,FLAC,
