John Mayer,Versions,File Type,
"4-25-2013 / Tuscaloosa, AL / Tuscaloosa Amphitheater (unk) (don browning & debbie ocoboc)",AUD,FLAC,
"7-10-2013 / Bonner Springs, KS / Cricket Wireless Amphitheatre (CA-11s) (jagraham)",AUD,FLAC,
"7-10-2013 / Bonner Springs, KS / Cricket Wireless Amphitheatre (CA-14s) (jagraham)",AUD,FLAC,
"7-12-2013 / The Woodlands, TX / Cynthia Woods-Mitchel Pavilion (DPA 4028) (justin kacz)",AUD,FLAC 24,
"8-10-2013 / Noblesville, IN / Klipsch Music Center (AKG 460B) (mike peters)",AUD,FLAC,
"8-10-2013 / Noblesville, IN / Klipsch Music Center (CK63) (duh vid) ",AUD,FLAC,
"8-11-2013 / Springfield, IL / Illinoise State Fairground (unk) ",AUD,FLAC,
"8-16-2013 / Hartford, CT / Comcast Theatre (Beyer MC930) (steve walkuski) ",AUD,FLAC,
"8-16-2013 / Hartford, CT / Comcast Theatre (Beyer MC930) (steve walkuski)",AUD,FLAC,
"8-17-2013 / Mansfield, MA / Great Woods (MBHO603) (bob crupi)",AUD,FLAC,
"8-31-2013 / Bristow, VA / Jiffy Lube Live (AKG 460mod) (rockinman)",AUD,FLAC,
"9-1-2013 / Atlantic City, NJ / Borgata Hotel - Casino adn Spa (DPA 4015-TL) (christopher jones)",AUD,FLAC,
"9-4-2013 / Charlotte, NC / Verizon Wireless Amphitheatre (Berliner CM-33s) (nsl) ",AUD,FLAC,
"9-27-2013 / Atlanta, GA / Aaron's Amphitheatre at Lakewood (unk) (don browning)",AUD,FLAC,
"10-1-2013 / Albuquerque, NM / Isleta Amphitheatre (unk) (debbie ocoboc)",AUD,FLAC,
