Smashing Pumpkins,Versions,File Type,
"12-1-1992 / Atlanta, GA / The Point - ANA(2) (unk)",AUD,FLAC,
"12-11-1992 / Atlanta, GA / Roxy Theatre - Hi8(M) (unk)",AUD,FLAC,
,,,
[1993],,,
"3-15-1993 / Atlanta, GA / Center Stage - ANA(x) (unk)",AUD,FLAC,
"3-15-1993 / Atlanta, GA / Center Stage - VHS(x)",AUD,FLAC,
"3-15-1993 / Atlanta, GA / Center Stage (HD cam) - VHS(x) (unk)",AUD,DVD,
"6-22-1993 / London, UK / MTV Studios",SBD,SHN,
"6-22-1993 / London, UK / MTV Studios (Promotional VHS) (cool as ice cream)",PRO,DVD,
"6-29-1993 / Paris, France / Studio 105 *Black Sessions",Silver CD,FLAC,
"6-29-1993 / Paris, France / Studio 105 FM>ANA",FM,SHN,
"6-30-1993 / Hilversum, The Netherlands / VPRO Radio Studios - FM>DAT>DDC-2",FM,FLAC,
"6-30-1993 / Hilversum, The Netherlands / VPRO Radio Studios (NAD614)",FM,FLAC,
"6-30-1993 / Hilversum, The Netherlands / VPRO Radio Studios - CASS(1) (fredheadset)",preFM,FLAC,
"6-30-1993 / Hilversum, The Netherlands / VPRO Radio Studios (thir13en remaster)",FM,FLAC,
"7-4-1993 / London, UK / Raymond Revue Bar (Virgin promo tape) - ANA (bmaromar)",SBD,FLAC,
"7-4-1993 / London, UK / Raymond Revue Bar (Virgin promo tape) - ANA (bmaromar)",SBD,FLAC 24,
"7-23-1993 / Milwaukee, WI / The Unicorn - ANA(3) (unk)",AUD,FLAC,
"7-26-1993 / Chicago, IL / Tower Records SBD/FM>ANA(1) (dan elsen)",FM,FLAC,
"7-26-1993 / Chicago, IL / Tower Records (WXRT 93.1 Broadcast) - CASS(M) (pg)",FM,FLAC,
"7-26-1993 / Chicago, IL / Tower Records (thir13en remaster)",FM,FLAC,
"7-28-1993 / Chicago, IL / Metro - DAT(M) (ECM-S220) (ziggy)",AUD,FLAC,
"7-28-1993 / Chicago, IL / Metro (ECM-S220) ",AUD (48k),FLAC,
"7-30-1993 / Iowa City, IA / Gabe's Oasis - ANA(1) (unk)",AUD,SHN,
"8-7-1993 / Pontiac, MI / Phoenix Center (unk)",AUD,FLAC,
"8-12-1993 / Chicago, IL / Metro - DAT>ANA (speed corrected)",AUD,FLAC,
"8-13-1993 / Chicago, IL / Metro (ECM-S220) (jb)",AUD (48k),FLAC,
"8-13-1993 / Chicago, IL / Metro - DAT(M) (ECM-S220)",AUD,SHN,
"8-14-1993 / Chicago, IL / Metro (ECM-S220) (jb)",AUD (48k),FLAC,
"8-14-1993 / Chicago, IL / Metro (dan martin-urfold)",PRO,DVD,
"8-24-1993 / Stockholm, SE / Melody - FM>ANA(M)",FM,FLAC,
"8-24-1993 / Stockholm, SE / Melody - FM>ANA(M) (mforss2001)",FM,FLAC,
"8-24-1993 / Stockholm, SE / Melody (thir13en remaster)",FM,APE,
"8-25-1993 / Copenhagen, DK / Loppen - DDC(1) (ECM155) (unk)",AUD #1,FLAC,
"8-27-1993 / Dronten, NL / Lowlands Festival *Drown (preFM)",Silver CD,SHN,
"8-28-1993 / Hasselt, BE / Pukkelpop Festival - D3>ANA(1) (bocaj rip)",AUD,SHN,
"8-28-1993 / Hasselt, BE / Pukkelpop Festival D3>ANA(1) (speed corrected) (bocaj rip)",AUD,FLAC,
"9-XX-1993 / Barcelona, Spain / Sala Apolo - SBD>VID(x)>DAT",SBD,FLAC,
"9-1-1993 / Berlin, DE / Huxley's Neue Welt- ANA(?) (OKM)",AUD,FLAC,
"9-2-1993 / Frankfurt, DE / Music-Hall - VHS(1) (unk) (travisbickle1963 transfer)",AMT #1,FLAC,
"9-3-1993 / M?nchen, Germany / Alabamahalle *Soul Sacrifice (WBR 94-9600)",Silver CD,FLAC,
"9-5-1993 / Modena, IT / Festa Dell 'Unita",AUD,FLAC,
"9-8-1993 / Paris, France / Bataclan",AUD,SHN,
"9-9-1993 / Utrecht, NL / Muziekcentrum Vredenburg ?>ANA(x)",AUD,SHN,
"9-12-1993 / London, UK / BBC Studios (BBC Transcription Services CD)",preFM,SHN,
"9-14-1993 / Leeds, UK / Town & Country Club  ?>ANA(x)",AUD,SHN,
"9-15-1993 / Manchester, UK / Academy (BBC Transcription Disc - TCD 0661 ""In Concert 581"")",preFM,SHN,
"9-15-1993 / Manchester, UK / Academy (thir13en remaster)",preFM,FLAC,
"9-18-1993 / Glasgow, UK / Barrowlands - ANA(M)>DAT(M) (ian rankin)",AUD,SHN,
"9-18-1993 / Glasgow, UK / Barrowlands - ANA(M)>DAT(M) (ian rankin) (lordflapjack 2022 remaster)",AUD,FLAC,
"9-23-1993 / Southampton, UK / Guild Hall - VID(2) (traveller03)",AUD,FLAC,
"9-23-1993 / Southampton, UK / Guild Hall - VHS(x) (onkel44 reauthor)",AUD,DVD,
"9-25-1993 / London, UK / Brixton Academy - ANA(?)>DAT(M) (unk)",AUD,SHN,
"10-5-1993 / Minneapolis, MN / First Avenue - DAT(x) (SS Mics)",AUD,FLAC,
"10-6-1993 / Iowa City, IA / Iowa Memorial Union Ballroom - ANA(M) (Walkman)",AUD,SHN,
"10-10-1993 / Denver, CO / Ogden Theater - ANA(1) (unk)",AUD,FLAC,
"10-10-1993 / Denver, CO / Ogden Theater (unk) (sxpxdxcx transfer)",AUD,FLAC,
"10-18-1993 / San Francisco, CA / Warfield Theatre (Aiwa HS-J470) (cynm)",AUD,FLAC,
"10-18-1993 / San Francisco, CA / Warfield Theatre (CSB)",AUD,SHN,
