Nine Inch Nails,Versions,File Type
"10-7-1994 / Universal City, CA / Universal Amphitheatre (Sony ECM 737) (ijwthstd)",AUD,FLAC
"10-7-1994 / Universal City, CA / Universal Amphitheatre *Sex, Pain & Rock n' Roll",Silver CD,FLAC
"10-14-1994 / Oakland, CA / Henry J. Kaiser Convention Center *Down In It",Silver CD,FLAC
"10-14-1994 / Oakland, CA / Henry J. Kaiser Convention Center - VHS(1) (dan)",AUD,DVD
"10-31-1994 / Houston, TX / The Summit *Love It To Death (SS) (jl)",AUD,FLAC
"11-2-1994 / Norman, OK / Lloyd Noble Arena - University of Oklahoma (Radioshack Shotgun) (steve m. )",AUD,FLAC
"11-5-1994 / Carbondale, IL / Southern IL University Arena (unk)",AUD,DVD
"11-6-1994 / Iowa City, IA / Carver-Hawkeye Arena (unk)",AUD,FLAC
"11-8-1994 / Madison, WI / Dane County Coliseum (SS) (dm)",AUD,FLAC
"11-9-1994 / Champaign, IL / The Assembly Hall (WMD3) (acetboy)",AUD,FLAC
"11-9-1994 / Champaign, IL / The Assembly Hall - VHS(1) (unk)",AUD,DVD
"11-12-1994 / Louisville, KY / Gardens (CSB) (jason schmidlapp)",AUD (48k),FLAC
"11-13-1994 / Columbus, OH / Convention Center *Hellraisers (Sonic Studios) (jl)",Silver CD,FLAC
"11-18-1994 / Jacksonville, FL / Jacksonville Coliseum (unk)",AUD,FLAC
"11-21-1994 / Tampa, FL / Exposition Hall *March of the Devil (Sonic Studios) (mm)",Silver CD,FLAC
"11-23-1994 / Winston-Salem, NC / Joel Memorial Arena (unk)",AUD,FLAC
"11-28-1994 / Pittsburgh, PA / Civic Arena *Hanging Like Jesus on the Cross (Booth 003/004)",Silver CD,FLAC
"11-28-1994 / Pittsburgh, PA / Civic Arena (steve kilinsky)",AUD,FLAC
"11-29-1994 / Buffalo, NY / Buffalo Memorial Auditorium - DAT(M) (CSB) (mark weygandt)",AUD,FLAC
"11-29-1994 / Buffalo, NY / Buffalo Memorial Auditorium (Sony WM-D3) (unk)",AUD,FLAC
"12-1-1994 / Toronto, Ontario / Maple Leaf Gardens *I Feel Evil",Silver CD,FLAC
"12-1-1994 / Toronto, Ontario / Maple Leaf Gardens - DAT(M) (Sony ECM-909A) (ag)",AUD,FLAC
"12-1-1994 / Toronto, Ontario / Maple Leaf Gardens (unk)",AUD,FLAC 24
"12-1-1994 / Toronto, Ontario / Maple Leaf Gardens  - VHS(1) (unk)",AUD,DVD
"12-3-1994 / Boston, MA / Boston Garden *Manson's Revenge",Silver CD,FLAC
"12-3-1994 / Boston, MA / Boston Garden - DAT(4)",AUD,FLAC
"12-4-1994 / Albany, NY / Knickerbocker Arena (SS DSM6) (dssman)",AUD,FLAC
"12-4-1994 / Albany, NY / Knickerbocker Arena (ECM 155) (sim)",AUD,FLAC
"12-6-1994 / Baltimore, MD / Baltimore Arena (Sony TR 71) (mdvidguy/rcsguy)",AUD,DVD
"12-8-1994 / New York, NY / Madison Square Garden - 8MM(M) (rcsguy)",AUD,DVD
"12-9-1994 / New York, NY / Madison Square Garden *Hellraisers",Silver CD,FLAC
"12-9-1994 / New York, NY / Madison Square Garden (unk)",AUD,FLAC
"12-9-1994 / New York, NY / Madison Square Garden - DAT(x) (gp)",AUD (48k),FLAC
"12-11-1994 / Philadelphia, PA / CoreStates Spectrum (unk)",AUD,DVD
"12-29-1994 / Dayton, OH / Hara Arena - DAT(M) (ECM 737) (david k.)",AUD (48k),FLAC
"12-29-1994 / Dayton, OH / Hara Arena - DAT(M) (Radioshack Stereo mic) (the govner)",AUD,FLAC
"12-29-1994 / Dayton, OH / Hara Arena *Homeboy Reznor",Silver CD,FLAC
,,
[1995],,
"1-3-1995 / Montreal, Quebec / Theatre Du Forum (unk)",AUD,FLAC
"1-5-1995 / Worcester, MA / The Centrum (unk)",AUD,FLAC
"1-6-1995 / Uniondale, NY / Nassau Coliseum *Nassau '95",Silver CD,FLAC
"1-6-1995 / Uniondale, NY / Nassau Coliseum ",AUD,DVD
"1-9-1995 / Cleveland, OH / CSU Convocation Center (unk)",AUD,DVD
"1-15-1995 / Chicago, IL / Rosemont Horizon (unk)",AUD,DVD
"1-18-1995 / Milwaukee, WI / Mecca Arena - DAT(M) (SS DSM6) (ryanj)",AUD,FLAC
"1-24-1995 / Atlanta, GA / The Omni (unk) ",AUD,FLAC 24
"1-30-1995 / Murfeesboro, TN / Murphy Center (unk)",AUD,DVD
"2-4-1995 / Minneapolis, MN / Target Center (SS DSM6) (d. merz)",AUD,FLAC
"2-4-1995 / Minneapolis, MN / Target Center (unk)",AUD,FLAC
"2-5-1995 / La Crosse, WI / La Crosse Center (SS DSM6) (d. merz)",AUD,FLAC
"2-7-1995 / Sioux Falls, SD / Sioux Falls Center - DAT(M) (SS DSM6) (d. merz)",AUD,FLAC
"2-8-1995 / Topeka, KS / Expo Center (inc) (unk)",AUD,FLAC
"2-11-1995 / Dallas, TX / Fair Park Coliseum - DAT(M) (SS DSM-6) (eric britt)",AUD,FLAC
"2-14-1995 / St. Louis, MO / Keil Center (unk)",AUD,DVD
"2-18-1995 / New Orleans, LA / UNO Lakefront Arena (unk)",AUD,DVD
"4-16-1995 / Melbourne, Australia / Olympic Park (unk) (ncl productions)",AUD,DVD
"9-12-1995 / Hartford, CT / Meadows Music Theatre (Rehearsal - No Audience) (Nak 700) (gordo55)",AUD,FLAC
"9-14-1995 / Hartford, CT / Meadows Music Theatre *A Hyper Circle",Silver CD,FLAC
"9-14-1995 / Hartford, CT / Meadows Music Theatre (Nak 700) (gordo55)",AUD,FLAC
"9-14-1995 / Hartford, CT / Meadows Music Theatre ",AUD,DVD
"9-16-1995 / Mansfield, MA / Great Woods Amphitheater *Glamour Death",Silver CD,FLAC
"9-16-1995 / Mansfield, MA / Great Woods Amphitheater - DAT(M) (CSB) (bill hoy)",AUD,FLAC
"9-17-1995 / Hershey, PA / Hershey Park Stadium *Monsters In Space",Silver CD,FLAC
"9-17-1995 / Hershey, PA / Hershey Park Stadium (unk)",AUD,FLAC 24
"9-17-1995 / Hershey, PA / Hershey Park Stadium  (unk)",AUD,MP3
"9-17-1995 / Hershey, PA / Hershey Park Stadium",AUD,DVD
"9-20-1995 / Toronto, Ontario / Skydome *Blue Lies",Silver CD,FLAC
"9-20-1995 / Toronto, Ontario / Skydome - DAT(M) (MKE-2002) (ms)",AUD,FLAC
"9-20-1995 / Toronto, Ontario / Skydome (psychomafia)",AUD,DVD
"9-22-1995 / Camden, NJ / Sony Blockbuster Entertainment Center (MK41) (wklitz)",AUD,FLAC
"9-23-1995 / Burgettstown, PA / Coca-Cola Star Lake Amphitheater (steve kilinsky)",AUD,FLAC
"9-23-1995 / Burgettstown, PA / Coca-Cola Star Lake Amphitheater (unk)",AUD,DVD
"9-28-1995 / East Rutherford, NJ / Meadowlands Arena (inc)",AUD,FLAC
"10-1-1995 / Tinley Park, IL / New World Music Theater (unk)",AUD,DVD
"10-3-1995 / Auburn Hills, MI / Palace of Auburn Hills *Outside the Palace",AUD,MP3
"10-3-1995 / Auburn Hills, MI / Palace of Auburn Hills (unk)",AUD,FLAC
"10-4-1995 / Columbus, OH / Polaris Amphitheater *Polarized",Silver CD,FLAC
"10-4-1995 / Columbus, OH / Polaris Amphitheater (unk)",AUD,FLAC
"10-6-1995 / Bristow, VA / Nissan Pavilion (unk)",AUD,MP3
"10-7-1995 / Raleigh, NC / Hardee's Walnut Creek Amphitheatre (unk)",AUD,MP3
"10-9-1995 / Atlanta, GA / Coca-Cola Lakewood Amphitheatre *You Can't Stop Us (SS) (jl)",Silver CD,FLAC
"10-11-1995 / Maryland Heights, MO / Riverport Amphitheatre (a stacy master)",SBD,FLAC
"10-13-1995 / Dallas, TX / Starplex Amphitheatre (ECM 959a) (v4tx)",AUD,FLAC
"10-14-1995 / Austin, TX / Southpark Meadows (unk)",AUD,FLAC
"10-14-1995 / Austin, TX / Southpark Meadows (unk)",AUD,FLAC
"10-16-1995 / Denver, CO / McNichol's Arena (CSB) (unk)",AUD,FLAC
"10-16-1995 / Denver, CO / McNichol's Arena - DAT(2) (CSB) (unk)",AUD,FLAC
"10-18-1995 / Phoenix, AZ / Desert Sky Pavilion (w/ David Bowie) (ECM-909) (kent)",AUD,FLAC
"10-18-1995 / Phoenix, AZ / Desert Sky Pavilion (w/ David Bowie) (unk)",AUD,FLAC
"10-18-1995 / Phoenix, AZ / Desert Sky Pavilion (w/ David Bowie) (david williams)",PRO,MP4
"10-19-1995 / Las Vegas, NV / Thomas & Mack Arena (ECM737) (ijwthstd)",AUD,FLAC
"10-19-1995 / Las Vegas, NV / Thomas & Mack Arena (Sanyo) (luke freteluco)",AUD,FLAC
"10-21-1995 / Mountain View, CA / Shoreline Amphitheatre (ECM727) (don)",AUD,FLAC
"10-21-1995 / Mountain View, CA / Shoreline Amphitheatre - DAT(M) (MK4) (teddy ballgame)",AUD,FLAC
"10-21-1995 / Mountain View, CA / Shoreline Amphitheatre (unk)",AUD,FLAC
"10-21-1995 / Mountain View, CA / Shoreline Amphitheater (unk) (neekrive)",AUD,FLAC
"10-21-1995 / Mountain View, CA / Shoreline Amphitheatre (unk)",AUD,DVD
"10-24-1995 / Tacoma, WA / Tacoma Dome - DAT(M) (CM700) (jems)",AUD,FLAC
"10-24-1995 / Tacoma, WA / Tacoma Dome (unk)",AUD,FLAC
"10-25-1995 / Portland, OR / Rose Garden Arena - DAT(M) (SS DSM6) (unk)",AUD,FLAC
"10-25-1995 / Portland, OR / Rose Garden Arena (ECM737) (unk)",AUD,FLAC
"10-28-1995 / Inglewood, CA / Great Western Forum (ECM737) (ijwthstd)",AUD,FLAC
"10-28-1995 / Inglewood, CA / Great Western Forum (ECM939) (keithm)",AUD,FLAC
"10-29-1995 / Inglewood, CA / Great Western Forum (unk)",AUD,FLAC
,,
[1996],,
"9-5-1996 / New York, NY / Irving Plaza (Ppromo)",SBD,FLAC
"9-5-1996 / New York, NY / Irving Plaza (unk)",AUD,FLAC
"9-5-1996 / New York, NY / Irving Plaza (interscope)",PRO,DVD
,,
[1999],,
"9-9-1999 / New York, NY / Radio City Music Hall - MTV Video Music Awards (fullmetal)",PRO,QT
"9-9-1999 / New York, NY / Radio City Music Hall - MTV Video Music Awards (bobcat)",PRO,DVD
"9-9-1999 / New York, NY / Radio City Music Hall - MTV Video Music Awards ",SBD,FLAC
"11-14-1999 / Barcelona, Spain / Vall d'Hebron (unk)",AUD,FLAC
"11-17-1999 / Milan, Italy / Alcatraz (unk)",AUD,FLAC
"11-19-1999 / Munich, Germany / Colosseum (unk)",AUD,FLAC
"11-20-1999 / Vienna, Austria / Libro Music Hall (Sharp MD) (unk)",AUD,FLAC
"11-20-1999 / Vienna, Austria / Libro Music Hall (unk)",AUD,DVD
"11-22-1999 / Berlin, Germany / Columbiahalle *Fragile In Berlin (NIN-221199-FIB-1/2)",Silver CD,FLAC
"11-23-1999 / Copenhagen, Denmark / KB Hallen (unk)",AUD,FLAC
"11-25-1999 / Paris, France / Le Zenith (ECM-MS907) (fullmetal)",AUD,FLAC
"11-25-1999 / Paris, France / Le Zenith (unk)",AUD,DVD
"11-25-1999 / Paris, France / Le Zenith (unk)",AUD,AVI
"11-26-1999 / Dusseldorf, Germany / Stahlwerk - MD(M) (unk)",AUD,FLAC
"11-28-1999 / Tilburg, The Netherlands / 013 (D100) (clogboy2005)",AUD,FLAC
"11-28-1999 / Tilburg, The Netherlands / 013 (ECM-MS907) (fullmetal)",AUD,FLAC
"11-29-1999 / London, UK / Brixton Academy (ECM 717) (polewka)",AUD,FLAC
"11-29-1999 / London, UK / Brixton Academy (unk) (gavin banns)",AUD,FLAC
"11-29-1999 / London, UK / Brixton Academy (unk) (simon)",AUD,FLAC
"11-29-1999 / London, UK / Brixton Academy (unk)",AUD,FLAC
"12-1-1999 / London, UK / Brixton Academy (ECM717) (polewka)",AUD,FLAC
"12-1-1999 / London, UK / Brixton Academy",FM,FLAC
"12-1-1999 / London, UK / Brixton Academy (MTV)",SBD,FLAC
"12-1-1999 / London, UK / Brixton Academy (unk)",AUD,FLAC
"12-1-1999 / London, UK / Brixton Academy (unk)",AUD (48k),DVD
"12-1-1999 / London, UK / Brixton Academy (unk)",AUD,DVD
,,
[2000],,
"1-10-2000 / Tokyo, Japan / Bay NK Hall (SS DSM6s) (ryanj)",AUD (48k),FLAC
"1-11-2000 / Tokyo, Japan / Bay NK Hall (SS DSM6) (unk)",AUD,FLAC
"1-12-2000 / Tokyo, Japan / Bay NK Hall (SS DSM6) (unk) ",AUD,FLAC
"1-14-2000 / Yokohama, Japan / Pacifico Hall (unk)",AUD,FLAC
"1-14-2000 / Yokohama, Japan / Pacifico Hall (unk)",AUD,DVD
"1-15-2000 / Osaka, Japan / Castle Hall *Fragility",Silver CD,FLAC
